Plate,Well,Concentration,CPD_ID,Class,Nuclei,Eccent,R/N,G/N,CD24,LDA_1,Deselected_Nuclei,Deselected_R/N,Deselected_G/N,Deselected_LDA_1
EMT 1-1,A05,3.23E-05,EC_1669101,2,0.649503722,-0.01718,0.533308456,0.1127774,-0.337529931,0.746622883,False,False,False,False
EMT 1-1,A06,9.68E-06,EC_1669101,2,0.380583127,0.209842466,0.300816654,0.384180222,-0.402854442,0.376786384,False,False,False,False
EMT 1-1,A07,2.90E-06,EC_1669101,2,0.072270471,0.377775195,0.071143148,0.621825854,-0.432797732,-0.023102871,False,False,False,False
EMT 1-1,A08,8.71E-07,EC_1669101,2,-0.018300248,0.676389359,0.088031414,0.625432786,-0.332255829,-0.103745982,False,False,False,False
EMT 1-1,A09,2.61E-07,EC_1669101,2,-0.126550868,0.854256026,-0.043181708,0.588826599,-0.453553875,-0.237478173,False,False,False,False
EMT 1-1,A10,7.84E-08,EC_1669101,2,-0.128722084,1.045281142,-0.122099109,0.737729816,-0.213371141,-0.289623248,False,False,False,False
EMT 1-1,A11,2.35E-08,EC_1669101,2,-0.117245658,0.901527642,-0.093011789,0.700109021,-0.485677379,-0.263493336,False,False,False,False
EMT 1-1,A12,7.06E-09,EC_1669101,2,0.062655087,0.62681044,0.291735041,0.701872523,-0.315658475,0.018614009,False,False,False,False
EMT 1-1,A13,2.12E-09,EC_1669101,2,-0.026674938,0.545055608,0.003461052,0.690781005,-0.34952741,-0.148341916,False,False,False,False
EMT 1-1,A14,6.35E-10,EC_1669101,2,-0.056141439,0.637099193,0.077598121,0.640026398,-0.22773787,-0.144959896,False,False,False,False
EMT 1-2,A05,3.23E-05,EC_1669101,2,0.557908245,0.062982877,0.527829644,0.134999843,-0.357828444,0.655062011,False,False,False,False
EMT 1-2,A06,9.68E-06,EC_1669101,2,0.408726339,0.169548864,0.294871125,0.2731222,-0.096258377,0.421426549,False,False,False,False
EMT 1-2,A07,2.90E-06,EC_1669101,2,0.005774783,0.395903667,0.09170044,0.497667547,-0.676610649,-0.057076339,False,False,False,False
EMT 1-2,A08,8.71E-07,EC_1669101,2,-0.096246391,0.549924774,-0.081579442,0.420857285,-0.537507157,-0.190150525,False,False,False,False
EMT 1-2,A09,2.61E-07,EC_1669101,2,-0.157844081,0.824907219,-0.166445071,0.485340027,-0.485986596,-0.284616398,False,False,False,False
EMT 1-2,A10,7.84E-08,EC_1669101,2,-0.207571383,0.922241347,-0.180012784,0.567086441,-0.487091234,-0.349995578,False,False,False,False
EMT 1-2,A11,2.35E-08,EC_1669101,2,-0.073468078,0.642370087,-0.060177669,0.523047045,-0.521004951,-0.180850759,False,False,False,False
EMT 1-2,A12,7.06E-09,EC_1669101,2,-0.099133782,0.581590522,-0.055007387,0.568264214,-0.44454922,-0.211544409,False,False,False,False
EMT 1-2,A13,2.12E-09,EC_1669101,2,-0.107475136,0.720312871,-0.008038261,0.625066664,-0.31016738,-0.215723773,False,False,False,False
EMT 1-2,A14,6.35E-10,EC_1669101,2,-0.053256336,0.644291363,-0.034787419,0.577370644,-0.450853737,-0.16416573,False,False,False,False
EMT 1-3,A05,3.23E-05,EC_1669101,2,0.606069896,0.034118165,0.627117001,0.233513175,-0.152809639,0.711842085,False,False,False,False
EMT 1-3,A06,9.68E-06,EC_1669101,2,0.397915389,0.107965839,0.402669393,0.23744426,-0.167232333,0.449540219,False,False,False,False
EMT 1-3,A07,2.90E-06,EC_1669101,2,0.114960147,0.307080939,0.285719929,0.467292274,-0.352849441,0.108137455,False,False,False,False
EMT 1-3,A08,8.71E-07,EC_1669101,2,-0.027896996,0.564366677,0.020079209,0.521246281,-0.339946449,-0.114065825,False,False,False,False
EMT 1-3,A09,2.61E-07,EC_1669101,2,-0.14806867,0.689286954,-0.051567934,0.435933271,-0.317089409,-0.232625126,False,False,False,False
EMT 1-3,A10,7.84E-08,EC_1669101,2,-0.146842428,0.784925212,-0.033654745,0.478910296,-0.331653219,-0.23391985,False,False,False,False
EMT 1-3,A11,2.35E-08,EC_1669101,2,-0.136112814,0.807564896,-0.071895962,0.576835979,-0.26534718,-0.252771901,False,False,False,False
EMT 1-3,A12,7.06E-09,EC_1669101,2,-0.103923973,0.658877397,-0.056740522,0.507558429,-0.257636502,-0.205624255,False,False,False,False
EMT 1-3,A13,2.12E-09,EC_1669101,2,-0.092887799,0.837570043,-0.123922203,0.52775901,-0.383475052,-0.218745634,False,False,False,False
EMT 1-3,A14,6.35E-10,EC_1669101,2,-0.081851625,0.701468773,-0.078055682,0.494329035,-0.317382494,-0.188827775,False,False,False,False
EMT 1-1,B05,3.23E-05,EC_2115383,2,-0.3867866,3.223135707,-0.200204791,-0.01383494,-0.872167612,-0.419552971,True,True,True,True
EMT 1-1,B06,9.68E-06,EC_2115383,2,0.228598015,-0.549814444,0.235091278,0.106686255,-0.883919345,0.264716859,False,False,False,False
EMT 1-1,B07,2.90E-06,EC_2115383,2,0.104528536,0.37621458,0.57091808,0.797177742,-0.666654064,0.123199365,False,False,False,False
EMT 1-1,B08,8.71E-07,EC_2115383,2,-0.012406948,1.029700188,0.030891349,1.149520825,-0.176553245,-0.209423174,False,False,False,False
EMT 1-1,B09,2.61E-07,EC_2115383,2,0.017679901,1.036368347,0.045048268,1.166543698,-0.085677379,-0.180076106,False,False,False,False
EMT 1-1,B10,7.84E-08,EC_2115383,2,0.151364764,0.457312228,0.119394492,0.761192043,-0.291770636,0.040275443,False,False,False,False
EMT 1-1,B11,2.35E-08,EC_2115383,2,0.033808933,1.42543952,-0.017706527,1.319232474,-0.058922495,-0.210958396,False,False,False,False
EMT 1-1,B12,7.06E-09,EC_2115383,2,-0.015508685,0.981732496,0.000356,1.040714056,-0.273402647,-0.201767017,False,False,False,False
EMT 1-1,B13,2.12E-09,EC_2115383,2,0.061104218,0.833665719,0.129288081,1.101450044,-0.153724008,-0.102736956,False,False,False,False
EMT 1-1,B14,6.35E-10,EC_2115383,2,0.040632754,1.036722223,0.011483081,1.008552289,-0.052287335,-0.140015167,False,False,False,False
EMT 1-2,B05,3.23E-05,EC_2115383,2,-0.420596728,-5.55394971,-0.269441776,-0.013362945,-1.010453642,-0.471809101,True,True,True,True
EMT 1-2,B06,9.68E-06,EC_2115383,2,0.176451716,-0.62174547,0.193018656,0.091167687,-1.00856094,0.206156653,False,False,False,False
EMT 1-2,B07,2.90E-06,EC_2115383,2,-0.001924928,0.54409538,0.358707127,0.859141317,-0.440137406,-0.050509195,False,False,False,False
EMT 1-2,B08,8.71E-07,EC_2115383,2,-0.058710298,0.694710111,0.108245926,1.080706813,-0.1230391,-0.217638202,False,False,False,False
EMT 1-2,B09,2.61E-07,EC_2115383,2,-0.021495027,0.762137527,0.103972904,0.920085072,-0.074003974,-0.155070807,False,False,False,False
EMT 1-2,B10,7.84E-08,EC_2115383,2,0.175168431,0.486714295,0.139184817,0.626053311,-0.201313441,0.09277869,False,False,False,False
EMT 1-2,B11,2.35E-08,EC_2115383,2,-0.038498556,0.947895975,0.004518168,1.120467762,0.101579497,-0.236464,False,False,False,False
EMT 1-2,B12,7.06E-09,EC_2115383,2,-0.025344883,1.094601577,-0.101174652,1.105364891,0.16129054,-0.252617569,False,False,False,False
EMT 1-2,B13,2.12E-09,EC_2115383,2,-0.018928457,0.661577893,0.11079177,0.952444495,-0.181423231,-0.156473278,False,False,False,False
EMT 1-2,B14,6.35E-10,EC_2115383,2,-0.059672762,0.964713656,-0.010157033,1.220458598,-0.194301687,-0.27866307,False,False,False,False
EMT 1-3,B05,3.23E-05,EC_2115383,2,-0.420294298,-0.76402347,-0.205149089,-0.012972739,-0.628599341,-0.452608224,True,True,True,True
EMT 1-3,B06,9.68E-06,EC_2115383,2,0.253832005,-0.460114568,0.377074683,0.169274558,-0.627408908,0.319059688,False,False,False,False
EMT 1-3,B07,2.90E-06,EC_2115383,2,0.02360515,0.38266633,0.659503235,0.753229681,-0.362199226,0.081341772,False,False,False,False
EMT 1-3,B08,8.71E-07,EC_2115383,2,0.048129982,0.566810613,0.188316145,0.910954882,-0.193606397,-0.063190304,False,False,False,False
EMT 1-3,B09,2.61E-07,EC_2115383,2,-0.018700184,0.745279826,0.095374393,0.844970227,-0.047848898,-0.141467712,False,False,False,False
EMT 1-3,B10,7.84E-08,EC_2115383,2,0.073267934,0.553862466,0.083326735,0.793774503,-0.089369324,-0.049518262,False,False,False,False
EMT 1-3,B11,2.35E-08,EC_2115383,2,0.014408338,0.802161993,0.032188257,0.94319821,-0.0700474,-0.146743207,False,False,False,False
EMT 1-3,B12,7.06E-09,EC_2115383,2,0.016554261,0.832861077,-0.033855165,0.873211113,-0.184752325,-0.151636956,False,False,False,False
EMT 1-3,B13,2.12E-09,EC_2115383,2,0.026670754,0.722509381,0.086599044,0.791142424,-0.09031371,-0.091799696,False,False,False,False
EMT 1-3,B14,6.35E-10,EC_2115383,2,0.026057633,0.65632657,-0.003186808,0.793968868,-0.203824583,-0.119399875,False,False,False,False
EMT 1-1,C05,3.23E-05,EC_2153600,2,-0.338709677,0.539416598,0.000574152,0.002174723,-0.788985507,-0.318029197,True,True,True,True
EMT 1-1,C06,9.68E-06,EC_2153600,2,0.233870968,0.900070876,0.461854401,1.1879227,0.266320101,0.142019351,False,False,False,False
EMT 1-1,C07,2.90E-06,EC_2153600,2,0.006823821,0.762596048,0.451229274,0.97099021,0.348613737,-0.03510803,False,False,False,False
EMT 1-1,C08,8.71E-07,EC_2153600,2,0.017369727,0.919093546,-0.000870127,1.187983873,0.1552615,-0.197787132,False,False,False,False
EMT 1-1,C09,2.61E-07,EC_2153600,2,0.04528536,1.204580947,0.028265469,1.172643835,0.191329553,-0.160228613,False,False,False,False
