Plate,Well,Concentration,CPD_ID,Nuclei,R/N,G/N,Eccent
EMT 1-2,A01,0,DMSO,2158,0.832647,0.0594963,0.673449
EMT 1-2,B01,0,DMSO,4138,0.798888,0.0106887,0.651775
EMT 1-2,C01,0,DMSO,4796,0.875128,0.00452166,0.666577
EMT 1-2,D01,0,DMSO,5000,0.809618,0.00252519,0.669217
EMT 1-2,E01,0,DMSO,4836,0.818047,0.00460136,0.670596
EMT 1-2,F01,0,DMSO,4888,0.841287,0.0122065,0.672797
EMT 1-2,G01,0,DMSO,4869,0.897611,0.0138727,0.674929
EMT 1-2,H01,0,DMSO,5199,0.823338,0.00442599,0.675114
EMT 1-2,I01,0,DMSO,4887,0.834722,0.00466861,0.678068
EMT 1-2,J01,0,DMSO,5026,0.803201,0.00461373,0.672384
EMT 1-2,K01,0,DMSO,5160,0.84627,0.00672781,0.6763
EMT 1-2,L01,0,DMSO,5007,0.79599,0.00646744,0.677086
EMT 1-2,M01,0,DMSO,4755,0.813436,0.0062066,0.664957
EMT 1-2,N01,0,DMSO,4942,0.791244,0.00456279,0.658428
EMT 1-2,O01,0,DMSO,3890,0.839359,0.0176852,0.651699
EMT 1-2,P01,0,DMSO,1662,0.709792,0.0356536,0.672752
EMT 1-2,A02,0,DMSO,4797,0.820387,0.00797599,0.652764
EMT 1-2,B02,0,DMSO,5030,0.813373,0.00986461,0.669871
EMT 1-2,C02,0,DMSO,4901,0.769124,0.0164579,0.67831
EMT 1-2,D02,0,DMSO,5122,0.815267,0.00685412,0.685125
EMT 1-2,E02,0,DMSO,4930,0.720083,0.0126095,0.679556
EMT 1-2,F02,0,DMSO,4956,0.751277,0.00605512,0.686065
EMT 1-2,G02,0,DMSO,4963,0.779528,0.00645907,0.682694
EMT 1-2,H02,0,DMSO,4858,0.826957,0.00635588,0.686038
EMT 1-2,I02,0,DMSO,5023,0.768317,0.00711096,0.695085
EMT 1-2,J02,0,DMSO,4964,0.791861,0.0171981,0.685823
EMT 1-2,K02,0,DMSO,4980,0.799684,0.0135413,0.685552
EMT 1-2,L02,0,DMSO,5018,0.730264,0.0055643,0.687153
EMT 1-2,M02,0,DMSO,4994,0.710532,0.0075223,0.675694
EMT 1-2,N02,0,DMSO,5100,0.746143,0.00273009,0.684987
EMT 1-2,O02,0,DMSO,4918,0.796856,0.010391,0.672902
EMT 1-2,P02,0,DMSO,4095,0.817951,0.00857242,0.654973
EMT 1-2,A03,0,DMSO,1446,0.0965334,0.150516,0.704052
EMT 1-2,B03,0,DMSO,1609,0.097569,0.330534,0.72868
EMT 1-2,C03,0,DMSO,1634,0.0723941,0.23231,0.728784
EMT 1-2,D03,0,DMSO,1718,0.0824323,0.279739,0.741692
EMT 1-2,E03,0,DMSO,1893,0.122424,0.360223,0.748469
EMT 1-2,F03,0,DMSO,1798,0.0974498,0.292614,0.734095
EMT 1-2,G03,0,DMSO,1846,0.128213,0.313962,0.731836
EMT 1-2,H03,0,DMSO,2131,0.148175,0.322569,0.739893
EMT 1-2,I03,0,DMSO,1789,0.0622329,0.255511,0.718979
EMT 1-2,J03,0,DMSO,2020,0.170158,0.281845,0.737234
EMT 1-2,K03,0,DMSO,1948,0.122807,0.280617,0.733873
EMT 1-2,L03,0,DMSO,2014,0.0999447,0.294419,0.734963
EMT 1-2,M03,0,DMSO,1915,0.135779,0.285981,0.734526
EMT 1-2,N03,0,DMSO,2046,0.117522,0.262807,0.71955
EMT 1-2,O03,0,DMSO,1650,0.0913552,0.260787,0.732358
EMT 1-2,P03,0,DMSO,1127,0.0844646,0.201289,0.722665
EMT 1-2,A04,0,DMSO,1292,0.0652396,0.185624,0.717124
EMT 1-2,B04,0,DMSO,1716,0.136699,0.301988,0.744736
EMT 1-2,C04,0,DMSO,1622,0.100553,0.28944,0.74256
