Plate,Well,Concentration,CPD_ID,G/N,R/N,Nuclei,Eccent
EMT 1-2,A01,0,DMSO,0.185547119,1.03279139,0.105685834,-0.02822943
EMT 1-2,B01,0,DMSO,0.012672235,0.984721368,0.741728236,-0.395703701
EMT 1-2,C01,0,DMSO,-0.009171214,1.093280819,0.953099904,-0.144741527
EMT 1-2,D01,0,DMSO,-0.016242644,1,1.018631545,-0.09998135
EMT 1-2,E01,0,DMSO,-0.008888919,1.012002199,0.965949245,-0.076600939
EMT 1-2,F01,0,DMSO,0.018048232,1.045094035,0.982653389,-0.039283837
EMT 1-2,G01,0,DMSO,0.023949857,1.125294751,0.976549952,-0.003136603
EMT 1-2,H01,0,DMSO,-0.009510074,1.019536145,1.082557019,0
EMT 1-2,I01,0,DMSO,-0.008650722,1.035746019,0.982332155,0.050083925
EMT 1-2,J01,0,DMSO,-0.008845105,0.990862723,1.026983617,-0.046286092
EMT 1-2,K01,0,DMSO,-0.001357104,1.052189415,1.070028911,0.02010817
EMT 1-2,L01,0,DMSO,-0.002279326,0.980594856,1.02088018,0.033434496
EMT 1-2,M01,0,DMSO,-0.003203213,1.005436516,0.939929329,-0.172207999
EMT 1-2,N01,0,DMSO,-0.009025533,0.973836944,1,-0.282904664
EMT 1-2,O01,0,DMSO,0.037453604,1.042348723,0.662062319,-0.396992252
EMT 1-2,P01,0,DMSO,0.101097075,0.857856036,-0.053646001,-0.040046795
EMT 1-2,A02,0,DMSO,0.003063907,1.015334165,0.953421137,-0.378935589
EMT 1-2,B02,0,DMSO,0.009753336,1.005346809,1.028268551,-0.088893033
EMT 1-2,C02,0,DMSO,0.033106548,0.942339895,0.986829425,0.054186942
EMT 1-2,D02,0,DMSO,-0.000909719,1.008043709,1.057822037,0.169732626
EMT 1-2,E02,0,DMSO,0.019475644,0.872509569,0.996145198,0.075312389
EMT 1-2,F02,0,DMSO,-0.00373975,0.916927244,1.00449727,0.185669962
EMT 1-2,G02,0,DMSO,-0.002308973,0.95715433,1.006745904,0.128515963
EMT 1-2,H02,0,DMSO,-0.002674468,1.024689301,0.973016383,0.185212187
EMT 1-2,I02,0,DMSO,0,0.941190794,1.026019916,0.338600566
EMT 1-2,J02,0,DMSO,0.035728312,0.974715501,1.007067138,0.181566945
EMT 1-2,K02,0,DMSO,0.022776049,0.985854806,1.012206874,0.176972245
EMT 1-2,L02,0,DMSO,-0.005478218,0.88700647,1.024413749,0.20411658
EMT 1-2,M02,0,DMSO,0.001456952,0.858909735,1.016704144,0.009833675
EMT 1-2,N02,0,DMSO,-0.015516895,0.909616852,1.050754899,0.167392889
EMT 1-2,O02,0,DMSO,0.011617792,0.981827968,0.992290395,-0.037503603
EMT 1-2,P02,0,DMSO,0.005176442,1.011865502,0.727915194,-0.34148285
EMT 1-2,A03,0,DMSO,0.507935847,-0.015373465,-0.123032445,0.490632577
EMT 1-2,B03,0,DMSO,1.145553571,-0.013898856,-0.070671378,0.908190773
EMT 1-2,C03,0,DMSO,0.797647454,-0.049745831,-0.06264054,0.909954053
EMT 1-2,D03,0,DMSO,0.965639383,-0.035452265,-0.035656923,1.128804191
EMT 1-2,E03,0,DMSO,1.250711014,0.021492607,0.020558946,1.2437056
EMT 1-2,F03,0,DMSO,1.011242202,-0.014068587,-0.00995824,1
EMT 1-2,G03,0,DMSO,1.086856102,0.029735664,0.00546097,0.96169953
EMT 1-2,H03,0,DMSO,1.117341808,0.0581599,0.097012528,1.098302843
EMT 1-2,I03,0,DMSO,0.879824619,-0.064214539,-0.012849341,0.743714077
EMT 1-2,J03,0,DMSO,0.973098764,0.089461873,0.061355606,1.053220529
EMT 1-2,K03,0,DMSO,0.96874923,0.022037967,0.038226791,0.996236076
EMT 1-2,L03,0,DMSO,1.017635451,-0.010516056,0.059428204,1.014716604
EMT 1-2,M03,0,DMSO,0.987748338,0.040509022,0.027626084,1.007307438
EMT 1-2,N03,0,DMSO,0.905666806,0.014512565,0.069707677,0.753395161
EMT 1-2,O03,0,DMSO,0.898512034,-0.022746793,-0.057500803,0.970549838
EMT 1-2,P03,0,DMSO,0.687772112,-0.032558438,-0.225505943,0.806208779
EMT 1-2,A04,0,DMSO,0.632287206,-0.059933247,-0.172502409,0.712263271
EMT 1-2,B04,0,DMSO,1.044444596,0.041819026,-0.03629939,1.180414032
EMT 1-2,C04,0,DMSO,1,-0.009649887,-0.066495342,1.143520795
EMT 1-2,D04,0,DMSO,1.037080847,0.022936459,-0.032444587,1.282650345
EMT 1-2,E04,0,DMSO,1.223965625,-0.044570888,-0.008030838,1.400705312
EMT 1-2,F04,0,DMSO,1.220108424,0.021654934,0.061676839,0.827775046
EMT 1-2,G04,0,DMSO,1.403196214,0.023946016,0.050433665,1.032552856
EMT 1-2,H04,0,DMSO,1.555022608,-0.030632732,0.039190491,1.340245164
EMT 1-2,I04,0,DMSO,1.269982854,-0.004362882,-0.016704144,1.434648446
EMT 1-2,J04,0,DMSO,0.98692306,0.094896965,0.066816576,0.999050542
EMT 1-2,K04,0,DMSO,0.99940495,-0.053203387,0.024092515,1.11574914
EMT 1-2,L04,0,DMSO,1.246733386,0,0.051397366,1.179583256
EMT 1-2,M04,0,DMSO,0.993865314,0.04979581,0.086411821,0.871975721
EMT 1-2,N04,0,DMSO,1.036234317,0.02557925,-0.007067138,0.937963073
EMT 1-2,O04,0,DMSO,0.996939741,0.045273449,0,0.794510096
EMT 1-2,P04,0,DMSO,0.80338544,-0.016968537,-0.119820109,0.688408131
EMT 1-2,A05,3.23E-05,EC_1669101,0.145279919,0.47739389,0.626405397,-0.194418542
EMT 1-2,B05,3.23E-05,EC_2115383,-0.025186782,-0.152829039,-0.577256666,-0.986114172
EMT 1-2,C05,3.23E-05,EC_2153600,-0.006041036,-0.045374832,-0.460006425,-0.365185399
EMT 1-2,D05,3.23E-05,EC_2118873,0.141669947,0.492101531,-0.028911018,-0.870585443
EMT 1-2,E05,3.23E-05,EC_3028064,0.448147452,-0.142617744,-0.125923546,-0.030230074
EMT 1-2,F05,3.23E-05,EC_4753261,0.33317522,0.511602078,0.339865082,0.309286041
EMT 1-2,G05,3.23E-05,EC_3839735,-0.004705502,0.569861652,0.139415355,-2.121801936
EMT 1-2,H05,3.23E-05,EC_4753381,-0.025186782,-0.152829039,-0.576614199,-0.270731252
EMT 1-2,I05,3.23E-05,EC_3908975,0.051043067,0.195902536,0.237712817,-0.671063563
EMT 1-2,J05,3.23E-05,EC_4756168,2.388433156,0.471789351,0.275618375,1.206998864
EMT 1-2,K05,3.23E-05,EC_3941139,1.087692006,0.138745073,0.176035978,0.603940252
EMT 1-2,L05,3.23E-05,EC_4795178,-0.025186782,-0.141714183,-0.34243495,-1.711602041
EMT 1-2,M05,3.23E-05,EC_3960084,-0.018906698,0.011905372,-0.075168648,-0.767789627
EMT 1-2,N05,3.23E-05,EC_9786646,1.84058303,1.080677728,0.766141985,0.592224615
EMT 1-2,O05,3.23E-05,EC_3970232,1.129033839,0.733324505,0.55316415,0.226310168
EMT 1-2,P05,3.23E-05,EC_11484996,0.568917884,0.834449684,0.480244137,-0.127125685
