CPD_ID,EC_50 R/N,Bottom R/N,Top R/N,Slope R/N,R2 R/N,EC_50 Nuclei,Bottom Nuclei,Top Nuclei,Slope Nuclei,R2 Nuclei,EC_50 G/N,Bottom G/N,Top G/N,Slope G/N,R2 G/N,EC_50 LDA_1,Bottom LDA_1,Top LDA_1,Slope LDA_1,R2 LDA_1,Run
X-XA25731,9.13E-07,-0.0037,0.0856,14.4,0.256,2.16E-06,-0.0902,0.0153,2.42,0.306,2.85E-06,0.757,0.985,14.8,0.42,9.61E-06,0.798,0.972,1.1,0.328,1
EC_11177096,2.85E-06,0.0105,0.0578,11.1,0.289,1.10E-05,-0.0631,-0.00482,11.2,0.132,8.03E-06,1.07,1.37,15.5,0.472,4.30E-07,0.999,1.02,9.34,0.0567,1
EC_2075960,3.60E-09,-0.0054,0.0223,13.5,0.06,3.10E-05,-0.0582,0.0395,13.7,0.124,2.36E-05,0.814,1.04,1.21,0.0952,1.17E-07,0.963,0.983,10.3,0.0297,1
EC_11188310,1.67E-05,0.0281,0.596,4,0.944,1.64E-05,0.0419,0.53,3.92,0.925,1.63E-05,0.612,1.21,0.84,0.625,1.54E-05,0.406,1,2.68,0.943,1
EC_24223796,1.02E-07,0.0152,0.0316,9.58,0.0253,2.47E-07,0.0591,0.0818,12.1,0.0975,1.49E-07,1.13,1.17,15.3,0.0229,2.22E-09,0.976,1.01,11.7,0.0504,1
EC_2072246,2.95E-05,0.036,0.296,13.6,0.452,5.47E-06,-0.601,0.092,2.64,0.96,5.24E-06,0.815,1.17,13.8,0.641,1.80E-06,0.968,1.09,2.55,0.445,1
EC_2075773,5.85E-06,0.0379,0.436,16.9,0.885,3.98E-06,-0.655,0.102,3.28,0.972,6.35E-10,1.03,1.1,3.6,0.000599,8.86E-08,0.933,1.02,13.7,0.186,1
EC_11189700,8.27E-06,0.0365,0.134,16.8,0.271,1.42E-05,-0.636,0.0725,3.95,0.89,1.27E-05,0.0505,1.04,9.83,0.868,1.47E-07,0.934,0.978,11.1,0.114,1
EC_2082611,9.46E-08,0.00676,0.0252,1.67,0.0405,3.17E-05,-0.0516,0.0736,13.5,0.14,1.24E-05,1.07,1.14,3.34,0.029,2.49E-05,0.964,1.05,1.74,0.104,1
X-XEW670281,2.71E-07,0.00618,0.655,16.3,0.868,1.63E-07,-0.651,0.0609,1.36,0.962,2.84E-06,-0.000493,0.957,15.2,0.637,1.00E-06,0.743,0.951,14.7,0.712,1
X-WE52880180,3.16E-07,-0.0492,0.448,15,0.877,2.10E-07,-0.651,0.0508,1.95,0.971,1.35E-08,-0.0791,1.38,0.653,0.968,1.32E-06,0.659,0.969,0.449,0.792,1
EC_16576878,4.39E-07,-0.0205,0.0323,1.18,0.208,4.62E-07,0.00458,0.0751,14.7,0.285,3.23E-05,0.894,1.09,4.07,0.0947,4.76E-07,0.973,1.02,10.8,0.194,1
X-WE60673361,1.64E-06,0.0347,0.518,5.4,0.618,9.49E-07,0.0814,0.607,14.7,0.637,4.23E-06,-0.0817,1.09,0.833,0.855,1.25E-06,0.323,0.953,3.53,0.911,1
X-WE60677874,1.34E-05,0.0239,0.906,4.58,0.986,1.29E-05,0.0361,0.821,3.82,0.976,2.24E-05,0.665,0.988,6.8,0.362,1.27E-05,0.163,0.969,4.17,0.986,1
X-WE60677880,8.38E-06,0.00471,0.903,3.19,0.984,4.79E-06,0.0123,0.723,5.11,0.96,1.15E-05,0.0891,0.944,2.16,0.854,7.10E-06,0.0883,0.967,2.58,0.975,1
X-WE60677898,6.17E-06,0.0083,1.08,2,0.978,3.65E-06,-0.119,1.01,1.23,0.968,8.54E-06,0.24,0.812,0.915,0.588,4.17E-06,0.00723,0.992,1.31,0.956,1
Saracatinib First lot,9.16E-08,0.0473,0.56,14.5,0.785,7.73E-08,-0.639,-0.164,3.85,0.888,2.76E-06,-0.0195,0.777,16.7,0.639,9.14E-07,0.799,0.958,13.3,0.473,1
Canertinib First lot,9.94E-07,-0.0402,0.621,17.5,0.945,7.24E-07,-0.65,-0.109,3.09,0.937,9.35E-08,-0.058,0.842,0.879,0.896,1.14E-06,0.678,0.991,0.451,0.693,1
X-WE51780341,2.71E-06,0.013,0.156,12,0.241,1.09E-09,-0.255,0.0475,0.574,0.217,7.01E-09,0.747,0.849,15.9,0.016,3.01E-06,0.689,0.978,13.9,0.701,1
X-WE60848792,3.23E-05,0.0342,0.204,0.895,0.153,2.33E-07,-0.206,0.361,0.299,0.777,2.02E-09,0.827,0.9,10,0.0146,4.91E-06,0.603,0.97,1.19,0.801,1
EC_27082048,9.32E-06,0.0204,0.889,2.22,0.954,4.68E-06,-0.034,0.737,1.17,0.9,1.19E-05,0.24,0.93,2.44,0.633,6.93E-06,0.126,0.968,1.65,0.947,1
EC_27084143,9.33E-07,0.0284,0.545,16.8,0.712,8.80E-07,-0.00279,0.507,18.2,0.458,5.27E-06,-0.0945,1.01,1.33,0.866,1.08E-06,0.294,0.976,3.97,0.912,1
