Plate,Well,Concentration,CPD_ID,Class,Eccent,R/N,Nuclei,Surface_nucleus,G/N,LDA_1
4183_Plaque cell 10_20122017_1323,A01,0,DMSO,1,-0.052065807,0.986877094,0.944954128,-0.22586402,-0.002756922,0.01243565
4183_Plaque cell 10_20122017_1323,B01,0,DMSO,1,-0.084501776,0.80595802,1.23088685,-0.643423,-0.072341559,-0.049956738
4183_Plaque cell 10_20122017_1323,C01,0,DMSO,1,-0.164770451,0.986159843,0.972094801,-0.323898755,-0.000733148,-0.011061536
4183_Plaque cell 10_20122017_1323,D01,0,DMSO,1,-0.01930935,1.016552742,0.995412844,0.091146513,0.011044611,-0.009328413
4183_Plaque cell 10_20122017_1323,E01,0,DMSO,1,-0.047351975,0.992730834,0.985856269,-0.04804344,0,-0.003142915
4183_Plaque cell 10_20122017_1323,F01,0,DMSO,1,-0.000427316,0.997255623,1,-0.054093758,0.014596623,-0.002390052
4183_Plaque cell 10_20122017_1323,G01,0,DMSO,1,0.053908608,0.931324436,1.006116208,-0.201880387,0.015805674,0.024164007
4183_Plaque cell 10_20122017_1323,H01,0,DMSO,1,0.039179553,1.034833754,1.042431193,-0.092615565,-0.004526835,-0.030445707
4183_Plaque cell 10_20122017_1323,I01,0,DMSO,1,0.014542104,1,0.972477064,-0.477039262,0.009537358,0.005498948
4183_Plaque cell 10_20122017_1323,J01,0,DMSO,1,-0.01824106,0.956250199,1.061926606,-0.089013668,-0.002765384,-0.016541474
4183_Plaque cell 10_20122017_1323,K01,0,DMSO,1,0,1.000593894,1.05351682,-0.100472273,-0.002898745,-0.026946332
4183_Plaque cell 10_20122017_1323,L01,0,DMSO,1,-0.022233795,1.013915189,0.973623853,0.309534691,0.005413992,0
4183_Plaque cell 10_20122017_1323,M01,0,DMSO,1,0.035734316,0.983410379,1.048165138,-0.052145904,-0.008331692,-0.015244895
4183_Plaque cell 10_20122017_1323,N01,0,DMSO,1,-0.045081858,0.960689782,0.979357798,0.511055976,-0.04417946,0.007326459
4183_Plaque cell 10_20122017_1323,O01,0,DMSO,1,-0.073631921,0.985316691,0.93883792,0.2990881,0.002531155,0.016829787
4183_Plaque cell 10_20122017_1323,P01,0,DMSO,1,-0.027228053,0.963804231,0.920489297,0.415502307,-0.032802122,0.031946453
4183_Plaque cell 10_20122017_1323,A02,0,DMSO,1,-0.041369548,1.003807537,0.993883792,0.07771829,-0.004605701,-0.009373121
4183_Plaque cell 10_20122017_1323,B02,0,DMSO,1,-0.065579681,1.032690901,1.024082569,-0.28259119,-0.01829012,-0.038238429
4183_Plaque cell 10_20122017_1323,C02,0,DMSO,1,0.051478247,1.021821488,1.077217125,-0.298587534,0.055629908,-0.029428198
4183_Plaque cell 10_20122017_1323,D02,0,DMSO,1,0.041369548,1.032355167,0.982798165,-0.281176547,0.050516487,0.000940441
4183_Plaque cell 10_20122017_1323,E02,0,DMSO,1,0.092954624,0.9967889,1.067278287,0.250968486,-0.014019176,-0.019630049
4183_Plaque cell 10_20122017_1323,F02,0,DMSO,1,0.085316348,1.030592559,0.995412844,0,0.056862654,0.004591171
4183_Plaque cell 10_20122017_1323,G02,0,DMSO,1,-0.008145715,0.969248476,0.984327217,0.042776617,0.045667419,0.018054372
4183_Plaque cell 10_20122017_1323,H02,0,DMSO,1,0.092554015,0.979260748,1.040137615,-0.263199704,0.035929003,0.00160232
4183_Plaque cell 10_20122017_1323,I02,0,DMSO,1,0.049715568,1.00499787,1.027905199,0.032982937,0.143350454,0.01094839
4183_Plaque cell 10_20122017_1323,J02,0,DMSO,1,0.002697433,1.000124629,1.031345566,-0.281056847,0.04139309,-0.012127772
4183_Plaque cell 10_20122017_1323,K02,0,DMSO,1,-0.004673771,1.010196672,0.954510703,0.266290154,0.011215205,0.011291358
4183_Plaque cell 10_20122017_1323,L02,0,DMSO,1,0.106962583,0.995934303,1.020259939,0.504907722,-0.00246549,0.003581617
4183_Plaque cell 10_20122017_1323,M02,0,DMSO,1,0.146916647,0.877648839,1.099388379,0.129069818,-0.06087554,0.008319996
4183_Plaque cell 10_20122017_1323,N02,0,DMSO,1,0.156598029,1.00141034,1.043195719,0.047989031,-0.018135773,-0.006554143
4183_Plaque cell 10_20122017_1323,O02,0,DMSO,1,-0.022460807,1.014872796,0.95795107,0.354106816,0.004050255,0.005661282
4183_Plaque cell 10_20122017_1323,P02,0,DMSO,1,0.027535187,1.042481894,0.989678899,0.228725951,-0.012103377,-0.013649252
4183_Plaque cell 10_20122017_1323,A03,0,DMSO,0,0.67565366,-0.000443831,-0.117737003,1,0.753437436,0.977160176
4183_Plaque cell 10_20122017_1323,B03,0,DMSO,0,1.015930882,0.027244114,-0.072629969,1.41231392,1,1.031300263
4183_Plaque cell 10_20122017_1323,C03,0,DMSO,0,0.95737521,0.005638818,-0.082186544,0.7685427,0.729632119,0.989141872
4183_Plaque cell 10_20122017_1323,D03,0,DMSO,0,1.168215688,-0.007791844,-0.038608563,1.007399669,1.128923748,1.066339217
4183_Plaque cell 10_20122017_1323,E03,0,DMSO,0,1.009147237,0.0167435,0.013379205,1.12383564,1.001909029,1
4183_Plaque cell 10_20122017_1323,F03,0,DMSO,0,1.087492989,0.004210674,0.011850153,0.857306085,1.066917548,1.022776026
4183_Plaque cell 10_20122017_1323,G03,0,DMSO,0,0.891047726,-0.016650664,-0.027140673,0.311439018,0.855888643,0.985458535
4183_Plaque cell 10_20122017_1323,H03,0,DMSO,0,0.976537671,0.046440766,0.042813456,1.333529207,1.186458623,1.004919825
4183_Plaque cell 10_20122017_1323,I03,0,DMSO,0,0.928277649,0.053053724,0.026376147,0.398450422,0.758602645,0.929994714
4183_Plaque cell 10_20122017_1323,J03,0,DMSO,0,1.050062762,0.103692447,0.09824159,1.143314181,0.891869095,0.924518694
4183_Plaque cell 10_20122017_1323,K03,0,DMSO,0,0.995726838,0,0.008792049,1.32351789,0.934013272,0.996586229
4183_Plaque cell 10_20122017_1323,L03,0,DMSO,0,1.13986593,0.018983003,0.051987768,0.9918386,1.133984028,1.019785662
4183_Plaque cell 10_20122017_1323,M03,0,DMSO,0,0.952421013,0.059454304,0.018348624,0.911856882,1.038146726,0.980859706
4183_Plaque cell 10_20122017_1323,N03,0,DMSO,0,0.944342067,-0.016041509,-0.00764526,1.238856969,0.872203391,0.992245189
4183_Plaque cell 10_20122017_1323,O03,0,DMSO,0,1.121891942,-0.036069868,-0.101681957,0.637699138,1.0098667,1.07389779
