Plate_Sanofi,Well,COMPOUND_MASK,BATCH_MASK,plaque Cpds,plaque cellules,Concentration,PlateSanofi_Well
EMT-Serie2-1-C1,A05,EC_11187255,EB_11187257,2200116202a,EMT-Serie2-1,3.229999999999999e-05,EMT-Serie2-1-C1_A05
EMT-Serie2-1-C1,A06,EC_11187255,EB_11187257,2200116202a,EMT-Serie2-1,9.677e-06,EMT-Serie2-1-C1_A06
EMT-Serie2-1-C1,A07,EC_11187255,EB_11187257,2200116202a,EMT-Serie2-1,2.903e-06,EMT-Serie2-1-C1_A07
EMT-Serie2-1-C1,A08,EC_11187255,EB_11187257,2200116202a,EMT-Serie2-1,8.709999999999999e-07,EMT-Serie2-1-C1_A08
EMT-Serie2-1-C1,A09,EC_11187255,EB_11187257,2200116202a,EMT-Serie2-1,2.613e-07,EMT-Serie2-1-C1_A09
EMT-Serie2-1-C1,A10,EC_11187255,EB_11187257,2200116202a,EMT-Serie2-1,7.838999999999999e-08,EMT-Serie2-1-C1_A10
EMT-Serie2-1-C1,A11,EC_11187255,EB_11187257,2200116202a,EMT-Serie2-1,2.3519999999999998e-08,EMT-Serie2-1-C1_A11
EMT-Serie2-1-C1,A12,EC_11187255,EB_11187257,2200116202a,EMT-Serie2-1,7.055e-09,EMT-Serie2-1-C1_A12
EMT-Serie2-1-C1,A13,EC_11187255,EB_11187257,2200116202a,EMT-Serie2-1,2.116e-09,EMT-Serie2-1-C1_A13
EMT-Serie2-1-C1,A14,EC_11187255,EB_11187257,2200116202a,EMT-Serie2-1,6.348999999999999e-10,EMT-Serie2-1-C1_A14
EMT-Serie2-1-C1,A15,EC_2077640,EB_2077642,2200116202a,EMT-Serie2-1,3.229999999999999e-05,EMT-Serie2-1-C1_A15
EMT-Serie2-1-C1,A16,EC_2077640,EB_2077642,2200116202a,EMT-Serie2-1,9.677e-06,EMT-Serie2-1-C1_A16
EMT-Serie2-1-C1,A17,EC_2077640,EB_2077642,2200116202a,EMT-Serie2-1,2.903e-06,EMT-Serie2-1-C1_A17
EMT-Serie2-1-C1,A18,EC_2077640,EB_2077642,2200116202a,EMT-Serie2-1,8.709999999999999e-07,EMT-Serie2-1-C1_A18
EMT-Serie2-1-C1,A19,EC_2077640,EB_2077642,2200116202a,EMT-Serie2-1,2.613e-07,EMT-Serie2-1-C1_A19
EMT-Serie2-1-C1,A20,EC_2077640,EB_2077642,2200116202a,EMT-Serie2-1,7.838999999999999e-08,EMT-Serie2-1-C1_A20
EMT-Serie2-1-C1,A21,EC_2077640,EB_2077642,2200116202a,EMT-Serie2-1,2.3519999999999998e-08,EMT-Serie2-1-C1_A21
EMT-Serie2-1-C1,A22,EC_2077640,EB_2077642,2200116202a,EMT-Serie2-1,7.055e-09,EMT-Serie2-1-C1_A22
EMT-Serie2-1-C1,A23,EC_2077640,EB_2077642,2200116202a,EMT-Serie2-1,2.116e-09,EMT-Serie2-1-C1_A23
EMT-Serie2-1-C1,A24,EC_2077640,EB_2077642,2200116202a,EMT-Serie2-1,6.348999999999999e-10,EMT-Serie2-1-C1_A24
EMT-Serie2-1-C1,B05,EC_11191498,EB_11191501,2200116202a,EMT-Serie2-1,3.229999999999999e-05,EMT-Serie2-1-C1_B05
EMT-Serie2-1-C1,B06,EC_11191498,EB_11191501,2200116202a,EMT-Serie2-1,9.677e-06,EMT-Serie2-1-C1_B06
EMT-Serie2-1-C1,B07,EC_11191498,EB_11191501,2200116202a,EMT-Serie2-1,2.903e-06,EMT-Serie2-1-C1_B07
EMT-Serie2-1-C1,B08,EC_11191498,EB_11191501,2200116202a,EMT-Serie2-1,8.709999999999999e-07,EMT-Serie2-1-C1_B08
EMT-Serie2-1-C1,B09,EC_11191498,EB_11191501,2200116202a,EMT-Serie2-1,2.613e-07,EMT-Serie2-1-C1_B09
EMT-Serie2-1-C1,B10,EC_11191498,EB_11191501,2200116202a,EMT-Serie2-1,7.838999999999999e-08,EMT-Serie2-1-C1_B10
EMT-Serie2-1-C1,B11,EC_11191498,EB_11191501,2200116202a,EMT-Serie2-1,2.3519999999999998e-08,EMT-Serie2-1-C1_B11
EMT-Serie2-1-C1,B12,EC_11191498,EB_11191501,2200116202a,EMT-Serie2-1,7.055e-09,EMT-Serie2-1-C1_B12
EMT-Serie2-1-C1,B13,EC_11191498,EB_11191501,2200116202a,EMT-Serie2-1,2.116e-09,EMT-Serie2-1-C1_B13
EMT-Serie2-1-C1,B14,EC_11191498,EB_11191501,2200116202a,EMT-Serie2-1,6.348999999999999e-10,EMT-Serie2-1-C1_B14
