COMPOUND_MASK,BATCH_MASK,plaque Cpds,plaque cellules,Well,Plate_Sanofi
EC_11187255,EB_11187257,2200116202a,EMT-Serie2-1,A05,EMT-Serie2-1-C2
EC_11187255,EB_11187257,2200116202a,EMT-Serie2-1,A06,EMT-Serie2-1-C2
EC_11187255,EB_11187257,2200116202a,EMT-Serie2-1,A07,EMT-Serie2-1-C2
EC_11187255,EB_11187257,2200116202a,EMT-Serie2-1,A08,EMT-Serie2-1-C2
EC_11187255,EB_11187257,2200116202a,EMT-Serie2-1,A09,EMT-Serie2-1-C2
EC_11187255,EB_11187257,2200116202a,EMT-Serie2-1,A10,EMT-Serie2-1-C2
EC_11187255,EB_11187257,2200116202a,EMT-Serie2-1,A11,EMT-Serie2-1-C2
EC_11187255,EB_11187257,2200116202a,EMT-Serie2-1,A12,EMT-Serie2-1-C2
EC_11187255,EB_11187257,2200116202a,EMT-Serie2-1,A13,EMT-Serie2-1-C2
EC_11187255,EB_11187257,2200116202a,EMT-Serie2-1,A14,EMT-Serie2-1-C2
EC_2077640,EB_2077642,2200116202a,EMT-Serie2-1,A15,EMT-Serie2-1-C2
EC_2077640,EB_2077642,2200116202a,EMT-Serie2-1,A16,EMT-Serie2-1-C2
EC_2077640,EB_2077642,2200116202a,EMT-Serie2-1,A17,EMT-Serie2-1-C2
EC_2077640,EB_2077642,2200116202a,EMT-Serie2-1,A18,EMT-Serie2-1-C2
EC_2077640,EB_2077642,2200116202a,EMT-Serie2-1,A19,EMT-Serie2-1-C2
EC_2077640,EB_2077642,2200116202a,EMT-Serie2-1,A20,EMT-Serie2-1-C2
EC_2077640,EB_2077642,2200116202a,EMT-Serie2-1,A21,EMT-Serie2-1-C2
EC_2077640,EB_2077642,2200116202a,EMT-Serie2-1,A22,EMT-Serie2-1-C2
EC_2077640,EB_2077642,2200116202a,EMT-Serie2-1,A23,EMT-Serie2-1-C2
EC_2077640,EB_2077642,2200116202a,EMT-Serie2-1,A24,EMT-Serie2-1-C2
EC_11191498,EB_11191501,2200116202a,EMT-Serie2-1,B05,EMT-Serie2-1-C2
EC_11191498,EB_11191501,2200116202a,EMT-Serie2-1,B06,EMT-Serie2-1-C2
EC_11191498,EB_11191501,2200116202a,EMT-Serie2-1,B07,EMT-Serie2-1-C2
EC_11191498,EB_11191501,2200116202a,EMT-Serie2-1,B08,EMT-Serie2-1-C2
EC_11191498,EB_11191501,2200116202a,EMT-Serie2-1,B09,EMT-Serie2-1-C2
EC_11191498,EB_11191501,2200116202a,EMT-Serie2-1,B10,EMT-Serie2-1-C2
EC_11191498,EB_11191501,2200116202a,EMT-Serie2-1,B11,EMT-Serie2-1-C2
EC_11191498,EB_11191501,2200116202a,EMT-Serie2-1,B12,EMT-Serie2-1-C2
EC_11191498,EB_11191501,2200116202a,EMT-Serie2-1,B13,EMT-Serie2-1-C2
EC_11191498,EB_11191501,2200116202a,EMT-Serie2-1,B14,EMT-Serie2-1-C2
EC_11189194,EB_11189197,2200116202a,EMT-Serie2-1,B15,EMT-Serie2-1-C2
EC_11189194,EB_11189197,2200116202a,EMT-Serie2-1,B16,EMT-Serie2-1-C2
EC_11189194,EB_11189197,2200116202a,EMT-Serie2-1,B17,EMT-Serie2-1-C2
EC_11189194,EB_11189197,2200116202a,EMT-Serie2-1,B18,EMT-Serie2-1-C2
EC_11189194,EB_11189197,2200116202a,EMT-Serie2-1,B19,EMT-Serie2-1-C2
EC_11189194,EB_11189197,2200116202a,EMT-Serie2-1,B20,EMT-Serie2-1-C2
EC_11189194,EB_11189197,2200116202a,EMT-Serie2-1,B21,EMT-Serie2-1-C2
EC_11189194,EB_11189197,2200116202a,EMT-Serie2-1,B22,EMT-Serie2-1-C2
EC_11189194,EB_11189197,2200116202a,EMT-Serie2-1,B23,EMT-Serie2-1-C2
EC_11189194,EB_11189197,2200116202a,EMT-Serie2-1,B24,EMT-Serie2-1-C2
EC_11190878,EB_11190883,2200116202a,EMT-Serie2-1,C05,EMT-Serie2-1-C2
EC_11190878,EB_11190883,2200116202a,EMT-Serie2-1,C06,EMT-Serie2-1-C2
EC_11190878,EB_11190883,2200116202a,EMT-Serie2-1,C07,EMT-Serie2-1-C2
EC_11190878,EB_11190883,2200116202a,EMT-Serie2-1,C08,EMT-Serie2-1-C2
EC_11190878,EB_11190883,2200116202a,EMT-Serie2-1,C09,EMT-Serie2-1-C2
EC_11190878,EB_11190883,2200116202a,EMT-Serie2-1,C10,EMT-Serie2-1-C2
EC_11190878,EB_11190883,2200116202a,EMT-Serie2-1,C11,EMT-Serie2-1-C2
EC_11190878,EB_11190883,2200116202a,EMT-Serie2-1,C12,EMT-Serie2-1-C2
EC_11190878,EB_11190883,2200116202a,EMT-Serie2-1,C13,EMT-Serie2-1-C2
EC_11190878,EB_11190883,2200116202a,EMT-Serie2-1,C14,EMT-Serie2-1-C2
EC_11176960,EB_11176962,2200116202a,EMT-Serie2-1,C15,EMT-Serie2-1-C2
EC_11176960,EB_11176962,2200116202a,EMT-Serie2-1,C16,EMT-Serie2-1-C2
EC_11176960,EB_11176962,2200116202a,EMT-Serie2-1,C17,EMT-Serie2-1-C2
EC_11176960,EB_11176962,2200116202a,EMT-Serie2-1,C18,EMT-Serie2-1-C2
EC_11176960,EB_11176962,2200116202a,EMT-Serie2-1,C19,EMT-Serie2-1-C2
EC_11176960,EB_11176962,2200116202a,EMT-Serie2-1,C20,EMT-Serie2-1-C2
EC_11176960,EB_11176962,2200116202a,EMT-Serie2-1,C21,EMT-Serie2-1-C2
EC_11176960,EB_11176962,2200116202a,EMT-Serie2-1,C22,EMT-Serie2-1-C2
EC_11176960,EB_11176962,2200116202a,EMT-Serie2-1,C23,EMT-Serie2-1-C2
EC_11176960,EB_11176962,2200116202a,EMT-Serie2-1,C24,EMT-Serie2-1-C2
EC_11193483,EB_11193485,2200116202a,EMT-Serie2-1,D05,EMT-Serie2-1-C2
EC_11193483,EB_11193485,2200116202a,EMT-Serie2-1,D06,EMT-Serie2-1-C2
EC_11193483,EB_11193485,2200116202a,EMT-Serie2-1,D07,EMT-Serie2-1-C2
EC_11193483,EB_11193485,2200116202a,EMT-Serie2-1,D08,EMT-Serie2-1-C2
EC_11193483,EB_11193485,2200116202a,EMT-Serie2-1,D09,EMT-Serie2-1-C2
EC_11193483,EB_11193485,2200116202a,EMT-Serie2-1,D10,EMT-Serie2-1-C2
EC_11193483,EB_11193485,2200116202a,EMT-Serie2-1,D11,EMT-Serie2-1-C2
EC_11193483,EB_11193485,2200116202a,EMT-Serie2-1,D12,EMT-Serie2-1-C2
EC_11193483,EB_11193485,2200116202a,EMT-Serie2-1,D13,EMT-Serie2-1-C2
EC_11193483,EB_11193485,2200116202a,EMT-Serie2-1,D14,EMT-Serie2-1-C2
EC_11262262,EB_11262264,2200116202a,EMT-Serie2-1,D15,EMT-Serie2-1-C2
EC_11262262,EB_11262264,2200116202a,EMT-Serie2-1,D16,EMT-Serie2-1-C2
EC_11262262,EB_11262264,2200116202a,EMT-Serie2-1,D17,EMT-Serie2-1-C2
EC_11262262,EB_11262264,2200116202a,EMT-Serie2-1,D18,EMT-Serie2-1-C2
EC_11262262,EB_11262264,2200116202a,EMT-Serie2-1,D19,EMT-Serie2-1-C2
EC_11262262,EB_11262264,2200116202a,EMT-Serie2-1,D20,EMT-Serie2-1-C2
EC_11262262,EB_11262264,2200116202a,EMT-Serie2-1,D21,EMT-Serie2-1-C2
EC_11262262,EB_11262264,2200116202a,EMT-Serie2-1,D22,EMT-Serie2-1-C2
EC_11262262,EB_11262264,2200116202a,EMT-Serie2-1,D23,EMT-Serie2-1-C2
EC_11262262,EB_11262264,2200116202a,EMT-Serie2-1,D24,EMT-Serie2-1-C2
EC_11190059,EB_11190061,2200116202a,EMT-Serie2-1,E05,EMT-Serie2-1-C2
EC_11190059,EB_11190061,2200116202a,EMT-Serie2-1,E06,EMT-Serie2-1-C2
EC_11190059,EB_11190061,2200116202a,EMT-Serie2-1,E07,EMT-Serie2-1-C2
EC_11190059,EB_11190061,2200116202a,EMT-Serie2-1,E08,EMT-Serie2-1-C2
