Plate,Well,Class,G,Surface_nucleus,R,Nuclei,Eccentricity,Plate_Sanofi,COMPOUND_MASK,Concentration
4082_EMT-Serie2-1-C1_29112017_1156,A01,1,0.012626143,-0.532781971,0.987324755,0.922208787,-0.168949414,EMT-Serie2-1-C1,DMSO,0
4082_EMT-Serie2-1-C1_29112017_1156,B01,1,-0.034147634,-0.092198148,1.006961946,1.010882709,-0.02060995,EMT-Serie2-1-C1,DMSO,0
4082_EMT-Serie2-1-C1_29112017_1156,C01,1,0.07431819099999999,0.155009359,0.999426917,0.92261185,0.164253476,EMT-Serie2-1-C1,DMSO,0
4082_EMT-Serie2-1-C1_29112017_1156,D01,1,0.0316993,0.10011378,1.016293084,0.983071342,0.135138661,EMT-Serie2-1-C1,DMSO,0
4082_EMT-Serie2-1-C1_29112017_1156,E01,1,0.024049059,0.3018584,1.008323861,0.94719871,-0.041272077,EMT-Serie2-1-C1,DMSO,0
4082_EMT-Serie2-1-C1_29112017_1156,F01,1,-0.041684457,-0.404737145,1.007955739,1.009673519,-0.148000313,EMT-Serie2-1-C1,DMSO,0
4082_EMT-Serie2-1-C1_29112017_1156,G01,1,0.0,0.256371044,1.003981915,0.999193873,0.053194542,EMT-Serie2-1-C1,DMSO,0
4082_EMT-Serie2-1-C1_29112017_1156,H01,1,-0.018384575,0.053757784,1.015048483,1.055219669,0.169575539,EMT-Serie2-1-C1,DMSO,0
4082_EMT-Serie2-1-C1_29112017_1156,I01,1,0.026293648,0.059544637,1.002265363,0.934703748,0.0,EMT-Serie2-1-C1,DMSO,0
4082_EMT-Serie2-1-C1_29112017_1156,J01,1,-0.014925063,-0.439384856,0.986449623,1.060862555,-0.162792518,EMT-Serie2-1-C1,DMSO,0
4082_EMT-Serie2-1-C1_29112017_1156,K01,1,0.029601483,0.326522872,1.004484879,1.0,-0.014922647,EMT-Serie2-1-C1,DMSO,0
4082_EMT-Serie2-1-C1_29112017_1156,L01,1,0.005765224,0.03907655,1.010168513,1.047561467,0.033002009,EMT-Serie2-1-C1,DMSO,0
4082_EMT-Serie2-1-C1_29112017_1156,M01,1,0.006784703,0.228501168,0.967448891,0.912938331,-0.149435183,EMT-Serie2-1-C1,DMSO,0
4082_EMT-Serie2-1-C1_29112017_1156,N01,1,-0.03589667,0.021300023,1.001372702,0.980249899,-0.35848269,EMT-Serie2-1-C1,DMSO,0
4082_EMT-Serie2-1-C1_29112017_1156,O01,1,-0.031420849,-0.137428582,0.939943609,0.8931882309999999,-0.438991939,EMT-Serie2-1-C1,DMSO,0
4082_EMT-Serie2-1-C1_29112017_1156,P01,1,-0.036588232000000005,0.300953057,0.984559124,0.842402257,-0.521483916,EMT-Serie2-1-C1,DMSO,0
4082_EMT-Serie2-1-C1_29112017_1156,A02,1,0.02286583,-0.110305003,1.0,0.92019347,-0.29735723,EMT-Serie2-1-C1,DMSO,0
4082_EMT-Serie2-1-C1_29112017_1156,B02,1,-0.029646005,-0.151008723,1.008755358,1.031841999,0.000521771,EMT-Serie2-1-C1,DMSO,0
4082_EMT-Serie2-1-C1_29112017_1156,C02,1,-0.005759187,0.175930117,0.983063715,1.014510278,0.112832955,EMT-Serie2-1-C1,DMSO,0
4082_EMT-Serie2-1-C1_29112017_1156,D02,1,0.00288714,-0.157774325,1.018748576,1.056831923,0.15796613699999998,EMT-Serie2-1-C1,DMSO,0
4082_EMT-Serie2-1-C1_29112017_1156,E02,1,0.040864421,-0.129488481,0.989091198,0.989520355,-0.009991913,EMT-Serie2-1-C1,DMSO,0
4082_EMT-Serie2-1-C1_29112017_1156,F02,1,0.030490791,-0.058480248,1.004294751,1.041918581,0.020923013,EMT-Serie2-1-C1,DMSO,0
4082_EMT-Serie2-1-C1_29112017_1156,G02,1,-0.029923324,0.160624931,0.979865238,1.038694075,0.182124129,EMT-Serie2-1-C1,DMSO,0
4082_EMT-Serie2-1-C1_29112017_1156,H02,1,-0.007538559,-0.031430075,0.984522716,1.021362354,0.140721609,EMT-Serie2-1-C1,DMSO,0
4082_EMT-Serie2-1-C1_29112017_1156,I02,1,0.017010052,-0.228929371,0.970240142,0.996775494,-0.053925022,EMT-Serie2-1-C1,DMSO,0
4082_EMT-Serie2-1-C1_29112017_1156,J02,1,0.030329682,-0.066713973,1.002049614,0.974607013,0.123998852,EMT-Serie2-1-C1,DMSO,0
4082_EMT-Serie2-1-C1_29112017_1156,K02,1,0.062311961,-0.041217564,0.97861794,0.992341798,-0.029897472,EMT-Serie2-1-C1,DMSO,0
4082_EMT-Serie2-1-C1_29112017_1156,L02,1,-0.038816258,0.18508142,0.976875768,1.005642886,0.008974459,EMT-Serie2-1-C1,DMSO,0
4082_EMT-Serie2-1-C1_29112017_1156,M02,1,-0.031349915,-0.300182292,0.978315891,1.072551391,0.026558138,EMT-Serie2-1-C1,DMSO,0
4082_EMT-Serie2-1-C1_29112017_1156,N02,1,-0.020595584,0.0,1.005755101,1.017331721,0.028984373,EMT-Serie2-1-C1,DMSO,0
4082_EMT-Serie2-1-C1_29112017_1156,O02,1,-0.0071665359999999985,-0.159878635,0.966893338,1.042724708,-0.109206647,EMT-Serie2-1-C1,DMSO,0
4082_EMT-Serie2-1-C1_29112017_1156,P02,1,-0.019381038,0.14878206900000002,0.998319856,0.857718662,-0.359004461,EMT-Serie2-1-C1,DMSO,0
4082_EMT-Serie2-1-C1_29112017_1156,A03,0,0.966963153,0.733890405,-0.086162003,-0.187021362,1.038376249,EMT-Serie2-1-C1,DMSO,0
4082_EMT-Serie2-1-C1_29112017_1156,B03,0,1.035617615,0.927242253,0.019042534,-0.063280935,1.200307845,EMT-Serie2-1-C1,DMSO,0
4082_EMT-Serie2-1-C1_29112017_1156,C03,0,1.006693395,1.027245923,-0.081884782,-0.132204756,1.38501474,EMT-Serie2-1-C1,DMSO,0
4082_EMT-Serie2-1-C1_29112017_1156,D03,0,0.8571560090000001,0.863892729,-0.002819568,0.012494962,0.907803084,EMT-Serie2-1-C1,DMSO,0
4082_EMT-Serie2-1-C1_29112017_1156,E03,0,0.8528811409999999,1.01915901,-0.039409226,0.032648126,0.94030941,EMT-Serie2-1-C1,DMSO,0
4082_EMT-Serie2-1-C1_29112017_1156,F03,0,1.110041073,0.54727969,0.042236884,-0.022974607,1.368318072,EMT-Serie2-1-C1,DMSO,0
4082_EMT-Serie2-1-C1_29112017_1156,G03,0,0.845950043,1.369269731,0.057482238,0.00040306300000000016,0.64832642,EMT-Serie2-1-C1,DMSO,0
4082_EMT-Serie2-1-C1_29112017_1156,H03,0,1.248361175,1.213281623,0.032814053,0.011285772,1.095431896,EMT-Serie2-1-C1,DMSO,0
4082_EMT-Serie2-1-C1_29112017_1156,I03,0,0.709957915,0.559489582,-0.167689451,-0.098750504,0.959719287,EMT-Serie2-1-C1,DMSO,0
4082_EMT-Serie2-1-C1_29112017_1156,J03,0,1.0,1.22502661,0.08390877599999999,0.057234986,0.807179567,EMT-Serie2-1-C1,DMSO,0
4082_EMT-Serie2-1-C1_29112017_1156,K03,0,1.229778892,1.161530274,-0.08683217300000001,-0.068117694,1.508022227,EMT-Serie2-1-C1,DMSO,0
4082_EMT-Serie2-1-C1_29112017_1156,L03,0,0.912725525,0.8152244390000001,0.032000949,0.060056429,0.59401007,EMT-Serie2-1-C1,DMSO,0
4082_EMT-Serie2-1-C1_29112017_1156,M03,0,0.865407675,1.061551072,-0.136759156,-0.114469972,1.165557904,EMT-Serie2-1-C1,DMSO,0
4082_EMT-Serie2-1-C1_29112017_1156,N03,0,1.02315145,1.155046062,0.065320663,0.047158404,0.805457724,EMT-Serie2-1-C1,DMSO,0
4082_EMT-Serie2-1-C1_29112017_1156,O03,0,0.7131536909999999,1.126784687,-0.131931775,-0.140266022,0.724348439,EMT-Serie2-1-C1,DMSO,0
4082_EMT-Serie2-1-C1_29112017_1156,P03,0,1.132328494,1.5097201999999998,0.025759065,-0.076582023,0.626777282,EMT-Serie2-1-C1,DMSO,0
4082_EMT-Serie2-1-C1_29112017_1156,A04,0,0.818342619,0.674737267,-0.07142905299999999,-0.122128174,0.784847773,EMT-Serie2-1-C1,DMSO,0
4082_EMT-Serie2-1-C1_29112017_1156,B04,0,1.1290233,0.924575162,0.055678038,-0.060459492,1.0,EMT-Serie2-1-C1,DMSO,0
4082_EMT-Serie2-1-C1_29112017_1156,C04,0,0.81403002,0.6722659259999999,-0.0026294390000000003,-0.027408303,1.143617438,EMT-Serie2-1-C1,DMSO,0
4082_EMT-Serie2-1-C1_29112017_1156,D04,0,0.96960429,0.958244124,0.143946289,0.17492946399999998,0.544754898,EMT-Serie2-1-C1,DMSO,0
4082_EMT-Serie2-1-C1_29112017_1156,E04,0,1.324742848,1.039871784,-0.02209538,-0.042321644000000005,1.260650648,EMT-Serie2-1-C1,DMSO,0
4082_EMT-Serie2-1-C1_29112017_1156,F04,0,1.096593915,0.971200313,0.068879171,0.056831923,1.190550729,EMT-Serie2-1-C1,DMSO,0
4082_EMT-Serie2-1-C1_29112017_1156,G04,0,0.908428018,0.904351762,-0.064251358,0.016928658,0.942918265,EMT-Serie2-1-C1,DMSO,0
4082_EMT-Serie2-1-C1_29112017_1156,H04,0,0.985137947,0.692929763,0.0,0.057638049,0.8596697190000001,EMT-Serie2-1-C1,DMSO,0
4082_EMT-Serie2-1-C1_29112017_1156,I04,0,0.827250796,0.559562989,-0.034189452,-0.02700524,1.049437792,EMT-Serie2-1-C1,DMSO,0
4082_EMT-Serie2-1-C1_29112017_1156,J04,0,1.3896431219999998,1.0,0.056237637,0.00040306300000000016,1.334376875,EMT-Serie2-1-C1,DMSO,0
