Plate,Well,Concentration,Compound Name,Plate Name,Class,G,R,Nuclei,Eccent,LDA_1
EMT-Serie2-1-C1,A01,0,DMSO,EMT-Serie2-1-C1,1,0.012626143,0.987324755,0.922208787,-0.168949414,1.148659409
EMT-Serie2-1-C1,B01,0,DMSO,EMT-Serie2-1-C1,1,-0.034147634,1.006961946,1.010882709,-0.02060995,1.190508975
EMT-Serie2-1-C1,C01,0,DMSO,EMT-Serie2-1-C1,1,0.074318191,0.999426917,0.92261185,0.164253476,1.138392155
EMT-Serie2-1-C1,D01,0,DMSO,EMT-Serie2-1-C1,1,0.0316993,1.016293084,0.983071342,0.135138661,1.178327124
EMT-Serie2-1-C1,E01,0,DMSO,EMT-Serie2-1-C1,1,0.024049059,1.008323861,0.94719871,-0.041272077,1.150967479
EMT-Serie2-1-C1,F01,0,DMSO,EMT-Serie2-1-C1,1,-0.041684457,1.007955739,1.009673519,-0.148000313,1.197351411
EMT-Serie2-1-C1,G01,0,DMSO,EMT-Serie2-1-C1,1,0,1.003981915,0.999193873,0.053194542,1.169443162
EMT-Serie2-1-C1,H01,0,DMSO,EMT-Serie2-1-C1,1,-0.018384575,1.015048483,1.055219669,0.169575539,1.207847347
EMT-Serie2-1-C1,I01,0,DMSO,EMT-Serie2-1-C1,1,0.026293648,1.002265363,0.934703748,0,1.151076529
EMT-Serie2-1-C1,J01,0,DMSO,EMT-Serie2-1-C1,1,-0.014925063,0.986449623,1.060862555,-0.162792518,1.18293464
EMT-Serie2-1-C1,K01,0,DMSO,EMT-Serie2-1-C1,1,0.029601483,1.004484879,1,-0.014922647,1.158338997
EMT-Serie2-1-C1,L01,0,DMSO,EMT-Serie2-1-C1,1,0.005765224,1.010168513,1.047561467,0.033002009,1.190810646
EMT-Serie2-1-C1,M01,0,DMSO,EMT-Serie2-1-C1,1,0.006784703,0.967448891,0.912938331,-0.149435183,1.106382539
EMT-Serie2-1-C1,N01,0,DMSO,EMT-Serie2-1-C1,1,-0.03589667,1.001372702,0.980249899,-0.35848269,1.161344809
EMT-Serie2-1-C1,O01,0,DMSO,EMT-Serie2-1-C1,1,-0.031420849,0.939943609,0.893188231,-0.438991939,1.084149227
EMT-Serie2-1-C1,P01,0,DMSO,EMT-Serie2-1-C1,1,-0.036588232,0.984559124,0.842402257,-0.521483916,1.099070397
EMT-Serie2-1-C1,A02,0,DMSO,EMT-Serie2-1-C1,1,0.02286583,1,0.92019347,-0.29735723,1.139509923
EMT-Serie2-1-C1,B02,0,DMSO,EMT-Serie2-1-C1,1,-0.029646005,1.008755358,1.031841999,0.000521771,1.198599943
EMT-Serie2-1-C1,C02,0,DMSO,EMT-Serie2-1-C1,1,-0.005759187,0.983063715,1.014510278,0.112832955,1.159395095
EMT-Serie2-1-C1,D02,0,DMSO,EMT-Serie2-1-C1,1,0.00288714,1.018748576,1.056831923,0.157966137,1.212884025
EMT-Serie2-1-C1,E02,0,DMSO,EMT-Serie2-1-C1,1,0.040864421,0.989091198,0.989520355,-0.009991913,1.153126761
EMT-Serie2-1-C1,F02,0,DMSO,EMT-Serie2-1-C1,1,0.030490791,1.004294751,1.041918581,0.020923013,1.180819204
EMT-Serie2-1-C1,G02,0,DMSO,EMT-Serie2-1-C1,1,-0.029923324,0.979865238,1.038694075,0.182124129,1.170714669
EMT-Serie2-1-C1,H02,0,DMSO,EMT-Serie2-1-C1,1,-0.007538559,0.984522716,1.021362354,0.140721609,1.170287358
EMT-Serie2-1-C1,I02,0,DMSO,EMT-Serie2-1-C1,1,0.017010052,0.970240142,0.996775494,-0.053925022,1.143711497
EMT-Serie2-1-C1,J02,0,DMSO,EMT-Serie2-1-C1,1,0.030329682,1.002049614,0.974607013,0.123998852,1.16796416
EMT-Serie2-1-C1,K02,0,DMSO,EMT-Serie2-1-C1,1,0.062311961,0.97861794,0.992341798,-0.029897472,1.135393758
EMT-Serie2-1-C1,L02,0,DMSO,EMT-Serie2-1-C1,1,-0.038816258,0.976875768,1.005642886,0.008974459,1.1546003
EMT-Serie2-1-C1,M02,0,DMSO,EMT-Serie2-1-C1,1,-0.031349915,0.978315891,1.072551391,0.026558138,1.185121262
EMT-Serie2-1-C1,N02,0,DMSO,EMT-Serie2-1-C1,1,-0.020595584,1.005755101,1.017331721,0.028984373,1.186894976
