Plate,Well,Class,Nuclei,R/N,G/N,Eccent,CPD_ID,Concentration,Deselected_Nuclei,Deselected_R/N,Deselected_G/N
EMT-Serie2-1-C1,F15,2,0.044336961,0.310925118,0.148835221,0.134408181,EC_11188498,3.23E-05,True,True,Not Fitted
EMT-Serie2-1-C1,F16,2,0.580814188,0.744905293,0.816735298,-0.421303905,EC_11188498,9.68E-06,False,False,Not Fitted
EMT-Serie2-1-C1,F17,2,0.241434905,0.450893537,0.9875527,0.235944797,EC_11188498,2.90E-06,False,False,Not Fitted
EMT-Serie2-1-C1,F18,2,0.047561467,0.133513484,1.024362599,0.883723357,EC_11188498,8.71E-07,False,False,Not Fitted
EMT-Serie2-1-C1,F19,2,0.053204353,0.041497944,0.938337005,0.772455715,EC_11188498,2.61E-07,False,False,Not Fitted
EMT-Serie2-1-C1,F20,2,0.02700524,-0.026189214,1.193131234,1.181941509,EC_11188498,7.84E-08,False,False,Not Fitted
EMT-Serie2-1-C1,F21,2,-0.008867392,0.015939795,1.27282942,1.187394015,EC_11188498,2.35E-08,False,False,Not Fitted
EMT-Serie2-1-C1,F22,2,-0.012091898,0.041325345,0.926991436,0.897498109,EC_11188498,7.06E-09,False,False,Not Fitted
EMT-Serie2-1-C1,F23,2,0.035469569,0.101432977,0.87155775,0.764368266,EC_11188498,2.12E-09,False,False,Not Fitted
EMT-Serie2-1-C1,F24,2,-0.051189037,0.110273286,1.014092351,0.204299392,EC_11188498,6.35E-10,False,False,Not Fitted
EMT-Serie2-1-C2,F15,2,-0.02595296,0.473108278,0.189653137,0.184380862,EC_11188498,3.23E-05,True,True,Not Fitted
EMT-Serie2-1-C2,F16,2,0.441605839,0.66473899,0.920655748,-0.222239835,EC_11188498,9.68E-06,False,False,Not Fitted
EMT-Serie2-1-C2,F17,2,0.319951338,0.425976645,0.791286178,0.165940134,EC_11188498,2.90E-06,False,False,Not Fitted
EMT-Serie2-1-C2,F18,2,0.098540146,0.108349208,0.914055877,0.816992946,EC_11188498,8.71E-07,False,False,Not Fitted
EMT-Serie2-1-C2,F19,2,0.064476886,0.065316038,1.16167907,1.031756096,EC_11188498,2.61E-07,False,False,Not Fitted
EMT-Serie2-1-C2,F20,2,0.198296837,0.255737709,0.856513248,0.869144805,EC_11188498,7.84E-08,False,False,Not Fitted
EMT-Serie2-1-C2,F21,2,-0.052716951,-0.055276964,0.717247427,1.014557079,EC_11188498,2.35E-08,False,False,Not Fitted
EMT-Serie2-1-C2,F22,2,-0.03811841,0.024445752,0.888403144,0.980211883,EC_11188498,7.06E-09,False,False,Not Fitted
EMT-Serie2-1-C2,F23,2,-0.050283861,0.010412803,0.980303509,0.96200893,EC_11188498,2.12E-09,False,False,Not Fitted
EMT-Serie2-1-C2,F24,2,0.110300081,0.302282254,0.76390169,0.152756862,EC_11188498,6.35E-10,False,False,Not Fitted
EMT-Serie2-1-C3,F15,2,0.21545855,0.305004082,0.115878983,-0.492952335,EC_11188498,3.23E-05,True,True,Not Fitted
EMT-Serie2-1-C3,F16,2,0.578293953,0.710598723,0.561998356,-0.320782807,EC_11188498,9.68E-06,False,False,Not Fitted
EMT-Serie2-1-C3,F17,2,0.394873849,0.487011643,0.541740698,-0.118093409,EC_11188498,2.90E-06,False,False,Not Fitted
EMT-Serie2-1-C3,F18,2,0.054064878,0.030857483,0.975557881,0.732837075,EC_11188498,8.71E-07,False,False,Not Fitted
EMT-Serie2-1-C3,F19,2,0.043251902,0.068880233,1.169138338,0.845911874,EC_11188498,2.61E-07,False,False,Not Fitted
EMT-Serie2-1-C3,F20,2,-0.010012014,0.012430514,0.895525779,1.052491295,EC_11188498,7.84E-08,False,False,Not Fitted
EMT-Serie2-1-C3,F21,2,0.029235082,-0.063252877,0.946410194,1.011718093,EC_11188498,2.35E-08,False,False,Not Fitted
EMT-Serie2-1-C3,F22,2,-0.005206247,-0.002649401,0.776822518,0.747028455,EC_11188498,7.06E-09,False,False,Not Fitted
EMT-Serie2-1-C3,F23,2,0.140568682,0.136197389,0.640401608,0.709448913,EC_11188498,2.12E-09,False,False,Not Fitted
EMT-Serie2-1-C3,F24,2,-0.252703244,-0.084414531,0.882413844,0.684067715,EC_11188498,6.35E-10,False,False,Not Fitted
EMT-Serie2-1-C1,B15,2,0.893591294,0.902687826,0.435789062,-0.405050742,EC_11189194,3.23E-05,False,False,False
EMT-Serie2-1-C1,B16,2,0.472793229,0.70824282,0.548033598,-0.053272808,EC_11189194,9.68E-06,False,False,False
EMT-Serie2-1-C1,B17,2,0.225312374,0.278612681,0.766557475,0.376092458,EC_11189194,2.90E-06,False,False,False
EMT-Serie2-1-C1,B18,2,0.088673922,0.177619292,0.946660358,0.609897994,EC_11189194,8.71E-07,False,False,False
EMT-Serie2-1-C1,B19,2,0.142281338,0.162998262,1.104996502,0.639247606,EC_11189194,2.61E-07,False,False,False
EMT-Serie2-1-C1,B20,2,-0.006852076,0.077105945,1.2083555,0.907490021,EC_11189194,7.84E-08,False,False,False
EMT-Serie2-1-C1,B21,2,0.080209593,0.17457184,1.115508226,0.754845947,EC_11189194,2.35E-08,False,False,False
EMT-Serie2-1-C1,B22,2,0.004030633,0.096861798,0.87621747,0.513866061,EC_11189194,7.06E-09,False,False,False
EMT-Serie2-1-C1,B23,2,-0.020153164,0.121846864,1.100272641,0.29073074,EC_11189194,2.12E-09,False,False,False
EMT-Serie2-1-C1,B24,2,-0.008464329,0.178193724,0.796357042,0.011139809,EC_11189194,6.35E-10,False,False,False
EMT-Serie2-1-C2,B15,2,0.834144363,0.925672642,0.506279123,-0.427756202,EC_11189194,3.23E-05,False,False,False
EMT-Serie2-1-C2,B16,2,0.51865369,0.736876968,0.586387907,-0.084409923,EC_11189194,9.68E-06,False,False,False
EMT-Serie2-1-C2,B17,2,0.282643958,0.3485981,0.795386206,0.340334469,EC_11189194,2.90E-06,False,False,False
EMT-Serie2-1-C2,B18,2,0.090429846,0.111598415,1.011923151,0.899077964,EC_11189194,8.71E-07,False,False,False
EMT-Serie2-1-C2,B19,2,0.067721006,0.160279348,1.104776515,1.087844443,EC_11189194,2.61E-07,False,False,False
EMT-Serie2-1-C2,B20,2,0.011759935,0.120877481,0.972178128,0.813082878,EC_11189194,7.84E-08,False,False,False
EMT-Serie2-1-C2,B21,2,-0.015815085,0.054060951,1.13227835,1.043195688,EC_11189194,2.35E-08,False,False,False
EMT-Serie2-1-C2,B22,2,-0.02919708,0.113812896,0.992639152,0.535785052,EC_11189194,7.06E-09,False,False,False
EMT-Serie2-1-C2,B23,2,-0.024736415,0.085253341,1.259717031,0.714961296,EC_11189194,2.12E-09,False,False,False
EMT-Serie2-1-C2,B24,2,-0.132603406,0.045942117,1.029486063,0.439829859,EC_11189194,6.35E-10,False,False,False
EMT-Serie2-1-C3,B15,2,0.828594313,0.885337557,0.397743449,-0.560427422,EC_11189194,3.23E-05,False,False,False
EMT-Serie2-1-C3,B16,2,0.502202643,0.760659121,0.611469229,-0.023892424,EC_11189194,9.68E-06,False,False,False
EMT-Serie2-1-C3,B17,2,0.221866239,0.225717785,0.878351079,0.451578821,EC_11189194,2.90E-06,False,False,False
EMT-Serie2-1-C3,B18,2,0.133360032,0.143018723,0.885911816,0.605354784,EC_11189194,8.71E-07,False,False,False
EMT-Serie2-1-C3,B19,2,0.031237485,0.05694185,1.047227303,0.830735983,EC_11189194,2.61E-07,False,False,False
EMT-Serie2-1-C3,B20,2,-0.00720865,0.052925107,0.852096006,0.701548805,EC_11189194,7.84E-08,False,False,False
EMT-Serie2-1-C3,B21,2,-0.001201442,0.007895075,0.996037088,0.799495738,EC_11189194,2.35E-08,False,False,False
EMT-Serie2-1-C3,B22,2,0.002402883,0.069171038,0.946625502,0.582446872,EC_11189194,7.06E-09,False,False,False
EMT-Serie2-1-C3,B23,2,-0.145374449,-0.015233707,0.872369266,0.406315284,EC_11189194,2.12E-09,False,False,False
EMT-Serie2-1-C3,B24,2,-0.093311974,0.012313074,0.791900307,0.197718814,EC_11189194,6.35E-10,False,False,False
EMT-Serie2-1-C1,C05,2,0.750906892,0.872310387,0.206688565,-1.403668049,EC_11190878,3.23E-05,False,False,False
EMT-Serie2-1-C1,C06,2,0.655380895,0.934148055,0.726902694,-0.035558686,EC_11190878,9.68E-06,False,False,False
EMT-Serie2-1-C1,C07,2,0.390165256,0.646433469,0.889415607,0.0446375,EC_11190878,2.90E-06,False,False,False
EMT-Serie2-1-C1,C08,2,0.111245466,0.151997767,0.92492003,0.814823511,EC_11190878,8.71E-07,False,False,False
EMT-Serie2-1-C1,C09,2,-0.07980653,-0.055998964,0.867758286,1.231170593,EC_11190878,2.61E-07,False,False,False
EMT-Serie2-1-C1,C10,2,0.040306328,0.046189134,1.318079637,1.101197464,EC_11190878,7.84E-08,False,False,False
EMT-Serie2-1-C1,C11,2,-0.070536074,-0.040098274,1.195591264,1.5647909,EC_11190878,2.35E-08,False,False,False
EMT-Serie2-1-C1,C12,2,0.088270859,0.109435911,1.049404348,0.815188751,EC_11190878,7.06E-09,False,False,False
EMT-Serie2-1-C1,C13,2,-0.049576784,0.052495742,1.249327076,1.460619342,EC_11190878,2.12E-09,False,False,False
EMT-Serie2-1-C1,C14,2,0.036275695,0.109020595,1.005116259,0.96433696,EC_11190878,6.35E-10,False,False,False
EMT-Serie2-1-C2,C05,2,0.681265207,0.889507431,0.181951627,-1.563789596,EC_11190878,3.23E-05,False,False,False
EMT-Serie2-1-C2,C06,2,0.736415247,0.94880616,0.780941876,-0.19685081,EC_11190878,9.68E-06,False,False,False
EMT-Serie2-1-C2,C07,2,0.370640714,0.642909337,0.689190861,0.033235582,EC_11190878,2.90E-06,False,False,False
EMT-Serie2-1-C2,C08,2,0.100162206,0.050643008,0.881810385,0.760191276,EC_11190878,8.71E-07,False,False,False
EMT-Serie2-1-C2,C09,2,-0.050689376,0.115797283,1.016055183,1.039919685,EC_11190878,2.61E-07,False,False,False
EMT-Serie2-1-C2,C10,2,0.043390105,0.048666988,1.321366799,1.226678291,EC_11190878,7.84E-08,False,False,False
EMT-Serie2-1-C2,C11,2,-0.061232766,0.002259105,1.318831396,1.07260046,EC_11190878,2.35E-08,False,False,False
EMT-Serie2-1-C2,C12,2,0.043390105,0.064689903,1.2991918,1.117988957,EC_11190878,7.06E-09,False,False,False
EMT-Serie2-1-C2,C13,2,-0.092051906,0.023440311,1.237193547,1.388787615,EC_11190878,2.12E-09,False,False,False
EMT-Serie2-1-C2,C14,2,0.01297648,0.084433369,1.377995545,1.081635888,EC_11190878,6.35E-10,False,False,False
EMT-Serie2-1-C3,C05,2,0.716059271,0.873713747,0.167138784,-1.485364389,EC_11190878,3.23E-05,False,False,False
EMT-Serie2-1-C3,C06,2,0.720064077,0.9607623,0.569131598,-0.296290071,EC_11190878,9.68E-06,False,False,False
EMT-Serie2-1-C3,C07,2,0.435322387,0.690080195,0.611356895,0.175627326,EC_11190878,2.90E-06,False,False,False
EMT-Serie2-1-C3,C08,2,0.167801362,0.208644178,0.935095612,0.633785568,EC_11190878,8.71E-07,False,False,False
