CPD_ID,EC_50 G/N,EC_50 R/N,EC_50 Nuclei,Run
Canertinib,2.13E-08,2.63E-06,8.76E-06,3.00E+00
EC_11175103,1.14E-05,1.69E-06,5.49E-06,3.00E+00
EC_11176072,2.21E-09,7.72E-06,3.64E-09,3.00E+00
EC_11176305,1.16E-08,6.35E-10,2.00E-09,3.00E+00
EC_11176396,6.38E-09,1.18E-05,7.96E-07,3.00E+00
EC_11176778,8.54E-07,1.60E-05,2.89E-09,3.00E+00
EC_11176791,3.98E-08,7.02E-09,2.53E-07,3.00E+00
EC_11176960,6.35E-10,1.38E-06,1.46E-08,3.00E+00
EC_11177096,6.41E-09,1.54E-06,2.15E-09,3.00E+00
EC_11177295,3.09E-06,9.21E-06,1.03E-05,3.00E+00
EC_11177591,1.36E-05,7.37E-07,8.05E-07,3.00E+00
EC_11177597,3.66E-09,3.14E-05,2.31E-05,3.00E+00
EC_11187255,1.78E-06,1.49E-05,5.11E-06,3.00E+00
EC_11187457,4.38E-06,4.90E-08,1.43E-07,3.00E+00
EC_11187466,9.23E-06,6.16E-08,3.84E-08,3.00E+00
EC_11187486,2.13E-06,1.96E-09,1.11E-09,3.00E+00
EC_11187540,2.78E-06,2.30E-09,1.50E-05,3.00E+00
EC_11187672,2.62E-07,1.15E-05,1.63E-06,3.00E+00
EC_11187821,2.43E-09,3.22E-05,1.59E-09,3.00E+00
EC_11187829,1.55E-05,1.08E-05,2.31E-07,3.00E+00
EC_11187920,1.23E-05,8.60E-06,3.48E-07,3.00E+00
EC_11188016,2.22E-05,1.09E-05,1.93E-05,3.00E+00
EC_11188057,1.73E-06,2.53E-07,5.12E-07,3.00E+00
EC_11188204,1.47E-05,1.18E-05,3.92E-09,3.00E+00
EC_11188310,6.35E-10,1.94E-05,2.79E-05,3.00E+00
EC_11188314,8.87E-06,2.51E-05,2.78E-05,3.00E+00
EC_11188360,2.00E-09,1.17E-05,1.93E-05,3.00E+00
EC_11188498,1.44E-05,1.81E-06,9.73E-07,3.00E+00
EC_11188969,1.23E-08,6.80E-06,7.15E-10,3.00E+00
EC_11189176,6.14E-09,1.03E-05,2.56E-09,3.00E+00
EC_11189184,6.72E-06,1.07E-05,1.04E-05,3.00E+00
EC_11189194,4.84E-06,5.22E-06,6.35E-06,3.00E+00
EC_11189359,2.75E-05,1.40E-07,1.07E-09,3.00E+00
EC_11189472,6.35E-10,2.78E-08,9.58E-10,3.00E+00
EC_11189481,2.91E-05,1.11E-05,3.97E-09,3.00E+00
EC_11189700,2.80E-05,6.35E-10,1.20E-05,3.00E+00
EC_11189708,6.35E-10,8.30E-06,9.49E-06,3.00E+00
EC_11189738,2.97E-05,1.29E-08,6.84E-10,3.00E+00
EC_11189828,6.35E-10,2.97E-05,2.40E-09,3.00E+00
EC_11189850,5.44E-06,8.13E-07,5.94E-07,3.00E+00
EC_11189978,1.57E-05,1.66E-07,2.84E-08,3.00E+00
EC_11190004,1.20E-06,2.54E-07,2.69E-05,3.00E+00
EC_11190013,1.48E-05,2.19E-08,1.71E-05,3.00E+00
EC_11190059,1.34E-05,8.98E-07,3.13E-06,3.00E+00
EC_11190219,1.94E-05,1.59E-05,4.87E-07,3.00E+00
EC_11190427,1.24E-05,8.68E-06,9.59E-06,3.00E+00
EC_11190448,1.67E-06,2.39E-08,2.45E-08,3.00E+00
EC_11190481,9.64E-06,6.38E-10,7.70E-07,3.00E+00
EC_11190511,8.79E-06,6.96E-06,2.84E-06,3.00E+00
EC_11190627,8.63E-06,1.03E-05,6.42E-06,3.00E+00
EC_11190878,3.98E-06,2.07E-06,2.48E-06,3.00E+00
EC_11190967,1.17E-05,3.15E-06,3.23E-06,3.00E+00
EC_11191211,7.10E-06,4.98E-07,9.00E-07,3.00E+00
EC_11191242,1.54E-05,1.01E-06,2.06E-06,3.00E+00
EC_11191283,1.73E-06,1.27E-07,2.40E-07,3.00E+00
EC_11191287,2.79E-05,9.02E-07,7.84E-08,3.00E+00
EC_11191311,6.35E-10,7.35E-07,6.39E-10,3.00E+00
EC_11191498,3.06E-05,3.14E-06,3.84E-06,3.00E+00
EC_11191538,2.70E-05,1.23E-05,2.19E-09,3.00E+00
EC_11191643,7.69E-06,1.18E-05,2.64E-05,3.00E+00
