Plate,Well,Concentration,CPD_ID,Class,Nuclei,Eccent,R/N,G/N,CD24,LDA_1,Deselected_Nuclei,Deselected_R/N,Deselected_G/N,Deselected_LDA_1
EMT day3 1-1,A05,3.23E-05,EC_1669101,2,0.430363461,0.191150339,0.5784439,0.526442008,-0.420943541,0.5615032,False,False,Not Fitted,False
EMT day3 1-1,A06,9.68E-06,EC_1669101,2,0.334191058,0.36187636,0.274899294,0.578102226,-0.309260345,0.354439824,False,False,Not Fitted,False
EMT day3 1-1,A07,2.90E-06,EC_1669101,2,0.118044387,0.42585349,0.21418282,0.492593615,-0.363151028,0.140719428,False,False,Not Fitted,False
EMT day3 1-1,A08,8.71E-07,EC_1669101,2,-0.110324863,0.700362005,-0.014688927,0.603678768,-0.147088697,-0.166242706,False,False,Not Fitted,False
EMT day3 1-1,A09,2.61E-07,EC_1669101,2,-0.2081055,0.879520642,-0.032238879,0.667575112,-0.095192284,-0.269245955,False,False,Not Fitted,False
EMT day3 1-1,A10,7.84E-08,EC_1669101,2,-0.218398199,0.960977589,-0.02671242,0.67398528,-0.096666309,-0.277305487,False,False,Not Fitted,False
EMT day3 1-1,A11,2.35E-08,EC_1669101,2,-0.193309746,0.933202464,-0.033711314,0.455839141,-0.135469913,-0.235459584,False,False,Not Fitted,False
EMT day3 1-1,A12,7.06E-09,EC_1669101,2,-0.164039884,0.911534083,-0.027844851,0.450372788,-0.091534059,-0.205732148,False,False,Not Fitted,False
EMT day3 1-1,A13,2.12E-09,EC_1669101,2,-0.163074944,0.794002927,0.045989725,0.705784307,-0.066739886,-0.202237757,False,False,Not Fitted,False
EMT day3 1-1,A14,6.35E-10,EC_1669101,2,-0.105178514,0.733293813,0.075627266,0.650249682,-0.04777575,-0.132336601,False,False,Not Fitted,False
EMT day3 1-2,A05,3.23E-05,EC_1669101,2,0.448492878,0.116190476,0.494057851,0.584208803,-0.190672459,0.541090913,False,False,Not Fitted,False
EMT day3 1-2,A06,9.68E-06,EC_1669101,2,0.290493541,0.325722225,0.263985555,0.518234674,-0.176805445,0.315900718,False,False,Not Fitted,False
EMT day3 1-2,A07,2.90E-06,EC_1669101,2,0.01623054,0.650457629,0.133575416,0.580479233,-0.233297839,0.008117187,False,False,Not Fitted,False
EMT day3 1-2,A08,8.71E-07,EC_1669101,2,-0.191785359,0.775409189,0.028847843,0.56582155,-0.14725757,-0.221449558,False,False,Not Fitted,False
EMT day3 1-2,A09,2.61E-07,EC_1669101,2,-0.208347135,0.845383373,-0.051470801,0.403174339,-0.145148164,-0.25081596,False,False,Not Fitted,False
EMT day3 1-2,A10,7.84E-08,EC_1669101,2,-0.267969526,0.934684348,0.077908278,0.453703912,-0.037430817,-0.262472117,False,False,Not Fitted,False
EMT day3 1-2,A11,2.35E-08,EC_1669101,2,-0.315004969,1.007450892,-0.068790465,0.50677771,0.0040933,-0.365802408,False,False,Not Fitted,False
EMT day3 1-2,A12,7.06E-09,EC_1669101,2,-0.171579993,0.706751344,-0.016922441,0.505076419,0.003145889,-0.21395634,False,False,Not Fitted,False
EMT day3 1-2,A13,2.12E-09,EC_1669101,2,-0.184166943,0.653523565,0.005208113,0.621861706,-0.130054375,-0.228718629,False,False,Not Fitted,False
EMT day3 1-2,A14,6.35E-10,EC_1669101,2,-0.21165949,1.034067724,-0.050524918,0.702844862,0.011470146,-0.282795232,False,False,Not Fitted,False
EMT day3 1-3,A05,3.23E-05,EC_1669101,2,0.411153119,0.133838635,0.61238979,0.529194081,-0.203739796,0.556180504,False,False,Not Fitted,False
EMT day3 1-3,A06,9.68E-06,EC_1669101,2,0.345935728,0.38262494,0.296248816,0.470134232,-0.206657283,0.383791318,False,False,Not Fitted,False
EMT day3 1-3,A07,2.90E-06,EC_1669101,2,0.017958412,0.540149749,0.050284885,0.661845282,-0.258215581,-0.029323569,False,False,Not Fitted,False
EMT day3 1-3,A08,8.71E-07,EC_1669101,2,-0.108380592,0.682562699,-0.056775379,0.618884651,-0.161992673,-0.18164205,False,False,Not Fitted,False
EMT day3 1-3,A09,2.61E-07,EC_1669101,2,-0.199747952,0.807066249,-0.051776378,0.466265004,-0.157454027,-0.249160193,False,False,Not Fitted,False
EMT day3 1-3,A10,7.84E-08,EC_1669101,2,-0.233144297,0.822453975,-0.063734487,0.523958753,-0.067962391,-0.290070555,False,False,Not Fitted,False
EMT day3 1-3,A11,2.35E-08,EC_1669101,2,-0.196597353,0.792374929,-0.06515226,0.599548431,-0.161571593,-0.264266813,False,False,Not Fitted,False
EMT day3 1-3,A12,7.06E-09,EC_1669101,2,-0.132955261,0.831638554,-0.023891344,0.674724127,-0.070651291,-0.19749648,False,False,Not Fitted,False
EMT day3 1-3,A13,2.12E-09,EC_1669101,2,-0.169187146,0.789346425,-0.050865151,0.527013955,-0.090577422,-0.226560067,False,False,Not Fitted,False
EMT day3 1-3,A14,6.35E-10,EC_1669101,2,-0.175488343,0.880387501,-0.01708181,0.606766656,-0.153992144,-0.227556248,False,False,Not Fitted,False
EMT day3 1-1,B05,3.23E-05,EC_2115383,2,-0.431971695,2.340787188,-0.093919743,-0.031309338,-0.698840599,-0.430524323,True,True,True,True
EMT day3 1-1,B06,9.68E-06,EC_2115383,2,0.540366677,-0.24505895,0.650240546,0.498064088,-0.698667184,0.692558845,False,False,False,False
EMT day3 1-1,B07,2.90E-06,EC_2115383,2,0.105821808,0.42224111,0.395738886,0.92187045,-0.494417698,0.15526536,False,False,False,False
EMT day3 1-1,B08,8.71E-07,EC_2115383,2,-0.024123512,0.969364262,0.004026567,1.000057097,-0.262582888,-0.11845394,False,False,False,False
EMT day3 1-1,B09,2.61E-07,EC_2115383,2,0.001608234,0.705533388,0.171050325,0.883175732,-0.313616357,-0.020958682,False,False,False,False
EMT day3 1-1,B10,7.84E-08,EC_2115383,2,-0.040205854,1.121689168,-0.018877545,1.166014804,-0.080303393,-0.158052824,False,False,False,False
EMT day3 1-1,B11,2.35E-08,EC_2115383,2,-0.043422322,0.993514724,-0.005412018,0.70013389,-0.1483026,-0.110480342,False,False,False,False
EMT day3 1-1,B12,7.06E-09,EC_2115383,2,-0.00096494,0.684655822,0.131419183,1.148758232,-0.190396955,-0.064069968,False,False,False,False
EMT day3 1-1,B13,2.12E-09,EC_2115383,2,0.00707623,0.936630278,0.031234867,1.156219665,-0.175161234,-0.094771168,False,False,False,False
EMT day3 1-1,B14,6.35E-10,EC_2115383,2,-0.060791251,1.061188988,-0.00129538,0.983085837,-0.10967654,-0.152611269,False,False,False,False
EMT day3 1-2,B05,3.23E-05,EC_2115383,2,-0.467704538,-3.050341851,-0.124965929,-0.02461685,-0.572454644,-0.475731798,True,True,True,True
EMT day3 1-2,B06,9.68E-06,EC_2115383,2,0.44319311,-0.209380444,0.499686705,0.459889954,-0.559729381,0.550447592,False,False,False,False
EMT day3 1-2,B07,2.90E-06,EC_2115383,2,0.030142431,0.420820226,0.397515417,0.819813888,-0.435497127,0.096078238,False,False,False,False
EMT day3 1-2,B08,8.71E-07,EC_2115383,2,-0.053991388,0.912477699,0.034366544,0.820901658,-0.150711165,-0.117183422,False,False,False,False
EMT day3 1-2,B09,2.61E-07,EC_2115383,2,-0.064259689,0.81209705,-0.036407811,0.710915626,-0.334379264,-0.142326178,False,False,False,False
EMT day3 1-2,B10,7.84E-08,EC_2115383,2,-0.126531964,1.168182701,-0.000457102,0.874520475,-0.069610388,-0.202343434,False,False,False,False
EMT day3 1-2,B11,2.35E-08,EC_2115383,2,-0.038754554,1.075093447,-0.0387845,0.943137936,-0.085072615,-0.142369578,False,False,False,False
EMT day3 1-2,B12,7.06E-09,EC_2115383,2,0.02947996,0.761736304,0.046119954,0.855825374,-0.235771634,-0.039199333,False,False,False,False
EMT day3 1-2,B13,2.12E-09,EC_2115383,2,-0.052003975,0.912784902,-0.027154457,0.826685465,-0.219236484,-0.138875858,False,False,False,False
EMT day3 1-2,B14,6.35E-10,EC_2115383,2,-0.071215634,0.924965827,-0.056609202,0.708345931,-0.209584232,-0.156032164,False,False,False,False
EMT day3 1-3,B05,3.23E-05,EC_2115383,2,-0.434782609,0.385953233,0.068348263,-0.026782982,-0.460346248,-0.37299797,True,True,True,True
EMT day3 1-3,B06,9.68E-06,EC_2115383,2,0.485192187,-0.235916573,0.584708172,0.279292304,-0.451244894,0.638570612,False,False,False,False
EMT day3 1-3,B07,2.90E-06,EC_2115383,2,0.150913674,0.527075629,0.447164514,0.881535479,-0.296822647,0.22000007,False,False,False,False
EMT day3 1-3,B08,8.71E-07,EC_2115383,2,-0.04599874,0.900924104,0.003321457,0.869151339,-0.180496153,-0.126109978,False,False,False,False
EMT day3 1-3,B09,2.61E-07,EC_2115383,2,0.02362949,0.671488369,0.014303027,1.003544524,-0.271801443,-0.070903087,False,False,False,False
EMT day3 1-3,B10,7.84E-08,EC_2115383,2,-0.060176434,0.984333283,-0.089022502,0.804280486,-0.149300104,-0.167317247,False,False,False,False
EMT day3 1-3,B11,2.35E-08,EC_2115383,2,0.062381853,0.937083692,0.098624159,1.193325416,-0.094171644,-0.022221016,False,False,False,False
