CPD_ID,EC_50 Nuclei,Bottom Nuclei,Top Nuclei,Slope Nuclei,R2 Nuclei,EC_50 R/N,Bottom R/N,Top R/N,Slope R/N,R2 R/N,EC_50 G/N,Bottom G/N,Top G/N,Slope G/N,R2 G/N,Run
Canertinib,8.76E-06,-0.813,-0.292,17.8,0.382,2.63E-06,-0.356,0.216,0.278,0.356,2.13E-08,0.123,0.45,15,0.712,2
EC_11175103,5.49E-06,-0.0133,0.526,1.32,0.879,1.69E-06,-0.011,0.0805,13.8,0.116,1.14E-05,0.243,0.861,3.09,0.801,2
EC_11176072,3.64E-09,-0.201,0.0101,0.466,0.378,7.72E-06,-0.0181,0.0842,17.6,0.255,2.21E-09,0.624,1.07,0.719,0.489,2
EC_11176305,2.00E-09,-0.109,0.0413,8.39,0.357,6.35E-10,-0.0697,0.167,0.0858,0.0532,1.16E-08,0.928,1.08,1.81,0.147,2
EC_11176396,7.96E-07,-0.238,0.265,0.197,0.417,1.18E-05,-0.00659,0.518,10.7,0.934,6.38E-09,0.808,1.06,16.4,0.391,2
EC_11176778,2.89E-09,-0.155,-0.0138,4.4,0.453,1.60E-05,0.012,0.357,1.87,0.548,8.54E-07,0.597,1.72,0.187,0.536,2
EC_11176791,2.53E-07,0.0114,0.0523,16.1,0.126,7.02E-09,0.0134,0.0261,13.5,0.00947,3.98E-08,0.942,0.989,10.7,0.0594,2
EC_11176960,1.46E-08,-0.326,0.171,0.388,0.381,1.38E-06,0.0698,0.229,3.56,0.172,6.35E-10,0.878,1.05,7.26,0.00804,2
EC_11177096,2.15E-09,-0.185,-0.0205,12.9,0.431,1.54E-06,0.0256,0.0811,14.5,0.194,6.41E-09,0.649,0.998,0.965,0.528,2
EC_11177295,1.03E-05,-0.336,0.0211,1.81,0.786,9.21E-06,0.00925,0.529,1.48,0.843,3.09E-06,1.16,1.26,1.66,0.0874,2
EC_11177591,8.05E-07,-0.0759,0.144,15,0.717,7.37E-07,-0.0668,0.0672,15.2,0.231,1.36E-05,0.0855,0.723,4.63,0.817,2
EC_11177597,2.31E-05,-0.0911,0.0304,0.449,0.0926,3.14E-05,0.04,0.141,18.5,0.0453,3.66E-09,1.11,1.18,12.1,0.0607,2
EC_11187255,5.11E-06,-0.139,0.159,1.38,0.659,1.49E-05,-0.00178,0.506,1.95,0.836,1.78E-06,0.864,0.945,10.9,0.0587,2
EC_11187457,1.43E-07,-0.0363,0.532,0.849,0.864,4.90E-08,0.0551,0.328,1.68,0.222,4.38E-06,-0.0333,0.886,0.853,0.813,2
EC_11187466,3.84E-08,-0.165,0.343,0.702,0.661,6.16E-08,0.0147,0.24,1.52,0.312,9.23E-06,-0.0321,0.877,1.44,0.841,2
EC_11187486,1.11E-09,-0.287,-0.0241,2.25,0.718,1.96E-09,-0.0176,0.084,11,0.287,2.13E-06,0.695,1.36,0.179,0.324,2
