CPD_ID,EC_50 G/N,Bottom G/N,Top G/N,Slope G/N,R2 G/N,EC_50 R/N,Bottom R/N,Top R/N,Slope R/N,R2 R/N,EC_50 Nuclei,Bottom Nuclei,Top Nuclei,Slope Nuclei,R2 Nuclei,Run
EC_1669101,9.01E-06,0.194,0.592,3.12,0.56,7.69E-06,-0.0295,0.552,1.56,0.917,5.51E-06,-0.124,0.722,1.64,0.943,4
EC_2115383,5.94E-06,-0.0281,1.01,3.13,0.87,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,4
EC_2153600,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,4
EC_2118873,1.08E-06,1.25,1.37,10.8,0.139,3.41E-06,0.0388,0.525,15.7,0.952,8.10E-06,0.0655,0.317,14.2,0.867,4
EC_3028064,1.28E-05,0.101,1.34,1.27,0.857,2.49E-06,0.027,0.476,1.28,0.789,1.66E-06,0.0809,0.571,1.02,0.908,4
EC_4753261,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,2.60E-06,0.0442,0.624,1.73,0.911,3.31E-06,0.0991,0.605,2.07,0.924,4
EC_3839735,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,2.31E-06,0.0375,0.941,2.43,0.96,3.10E-06,0.105,0.936,2.82,0.963,4
EC_4753381,6.55E-06,-0.0281,1.3,3.62,0.952,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,4
EC_3908975,5.03E-06,0.0173,1.33,2.37,0.937,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,9.46E-07,0.0903,0.498,14.2,0.87,4
EC_4756168,1.11E-07,1.28,2.4,0.772,0.847,2.83E-07,-0.0415,0.648,0.419,0.864,1.52E-05,0.11,0.454,1.89,0.727,4
EC_3941139,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,4
EC_4795178,1.18E-06,0.808,1.28,1.98,0.554,8.56E-07,0.0193,0.77,2.44,0.974,7.55E-07,0.0863,0.789,1.97,0.968,4
EC_3960084,2.84E-06,0.0285,1.15,3.6,0.923,Not Fitted,Not Fitted,Not Fitted,Not Fitted,Not Fitted,1.24E-06,0.121,0.748,1.31,0.858,4
EC_9786646,2.26E-07,1.11,2.11,0.894,0.831,4.46E-06,0.0444,1.08,0.681,0.894,1.54E-05,0.0658,0.766,4,0.933,4
