Plate,Well,Concentration,CPD_ID,Class,Nuclei,Eccent,R/N,G/N,CD24,LDA_1,Deselected_Nuclei,Deselected_R/N,Deselected_G/N,Deselected_LDA_1
EMT 2-1,I05,3.23E-05,EC_10645834,2,0.591661362,-0.601993371,0.39960822,0.047541208,-0.120056916,0.646670144,True,True,Not Fitted,True
EMT 2-1,I06,9.68E-06,EC_10645834,2,0.794080204,0.136404544,1.316034269,0.788232657,0.182226306,0.905469181,False,False,Not Fitted,False
EMT 2-1,I07,2.90E-06,EC_10645834,2,0.393061744,0.698558982,0.964708887,1.0329453,0.230608091,0.394319762,False,False,Not Fitted,False
EMT 2-1,I08,8.71E-07,EC_10645834,2,0.113940165,1.112164338,0.226445024,1.007874685,0.06256464,-0.036878793,False,False,Not Fitted,False
EMT 2-1,I09,2.61E-07,EC_10645834,2,0.080203692,1.097829683,-0.093661853,0.977947811,-0.028784016,-0.136908397,False,False,Not Fitted,False
EMT 2-1,I10,7.84E-08,EC_10645834,2,0.177912158,1.053470593,-0.003335056,1.310440667,0.006185649,-0.088172416,False,False,Not Fitted,False
EMT 2-1,I11,2.35E-08,EC_10645834,2,0.118395926,1.074771259,-0.003961346,1.199447787,0.085265113,-0.123278095,False,False,Not Fitted,False
EMT 2-1,I12,7.06E-09,EC_10645834,2,0.158179504,1.052282665,-0.08768037,1.20011779,0.052625772,-0.104776476,False,False,Not Fitted,False
EMT 2-1,I13,2.12E-09,EC_10645834,2,0.11298536,1.063137297,0.083864116,0.990054761,0.044748786,-0.067140587,False,False,Not Fitted,False
EMT 2-1,I14,6.35E-10,EC_10645834,2,0.092934437,1.080841518,-0.06210825,1.132451936,-0.017252623,-0.147803714,False,False,Not Fitted,False
EMT 2-2,I05,3.23E-05,EC_10645834,2,0.483221477,-0.390448552,0.740359728,0.044914173,-0.093884028,0.622325641,True,True,Not Fitted,True
EMT 2-2,I06,9.68E-06,EC_10645834,2,0.758708853,0.217938121,1.32863711,0.873393368,0.147024703,0.857958536,False,False,Not Fitted,False
EMT 2-2,I07,2.90E-06,EC_10645834,2,0.296260786,0.856144691,0.823615568,1.337288466,0.250707533,0.209869324,False,False,Not Fitted,False
EMT 2-2,I08,8.71E-07,EC_10645834,2,0.101629914,1.040412313,0.158979575,1.235815751,0.081527337,-0.108853682,False,False,Not Fitted,False
EMT 2-2,I09,2.61E-07,EC_10645834,2,0.090763822,1.007281425,-0.09553687,1.03972946,0.007893085,-0.139390533,False,False,Not Fitted,False
EMT 2-2,I10,7.84E-08,EC_10645834,2,0.126238415,1.053535038,0.031409043,1.199436071,0.073028811,-0.107652567,False,False,Not Fitted,False
EMT 2-2,I11,2.35E-08,EC_10645834,2,0.072866731,1.149429659,-0.173967581,1.110117705,0.028998198,-0.188320198,False,False,Not Fitted,False
EMT 2-2,I12,7.06E-09,EC_10645834,2,0.115052733,1.15879045,-0.133015727,1.11819143,0.042179751,-0.140260291,False,False,Not Fitted,False
EMT 2-2,I13,2.12E-09,EC_10645834,2,0.173218281,0.889947905,0.277423618,1.109124314,0.064034555,0.01151021,False,False,Not Fitted,False
EMT 2-2,I14,6.35E-10,EC_10645834,2,0.150846916,1.079502985,0.119318326,1.155769304,0.07201297,-0.055382542,False,False,Not Fitted,False
EMT 2-3,I05,3.23E-05,EC_10645834,2,0.526969697,-0.441941577,0.619534233,0.039842473,0.03089033,0.637183884,True,True,Not Fitted,True
EMT 2-3,I06,9.68E-06,EC_10645834,2,0.673939394,0.022169298,1.531067181,0.960448082,0.573730972,0.80672354,False,False,Not Fitted,False
EMT 2-3,I07,2.90E-06,EC_10645834,2,-0.007575758,0.386803646,1.091436603,1.183705204,0.210995834,0.012086395,False,False,Not Fitted,False
EMT 2-3,I08,8.71E-07,EC_10645834,2,0.07969697,0.571742084,0.307555247,1.089718666,0.317751949,-0.066881745,False,False,Not Fitted,False
EMT 2-3,I09,2.61E-07,EC_10645834,2,-0.117575758,1.064492115,-0.17328322,0.88133454,0.227133266,-0.324816057,False,False,Not Fitted,False
EMT 2-3,I10,7.84E-08,EC_10645834,2,0.037272727,0.863989655,0.141872164,1.232732318,0.453418279,-0.173531394,False,False,Not Fitted,False
EMT 2-3,I11,2.35E-08,EC_10645834,2,0.05,1.288850934,-0.250561341,1.065827421,0.174064601,-0.219074831,False,False,Not Fitted,False
EMT 2-3,I12,7.06E-09,EC_10645834,2,0.151818182,1.114453369,-0.104624659,1.232673819,0.156207458,-0.121127424,False,False,Not Fitted,False
EMT 2-3,I13,2.12E-09,EC_10645834,2,0.019090909,1.309887086,-0.186808538,1.085595266,-0.029345943,-0.237725319,False,False,Not Fitted,False
EMT 2-3,I14,6.35E-10,EC_10645834,2,0.113030303,1.131614286,-0.074465682,1.246276311,-0.045643228,-0.153817441,False,False,Not Fitted,False
EMT 2-1,D05,3.23E-05,EC_11188057,2,-0.55537874,-4.126215861,-0.989387479,-0.004413108,-0.134248006,-0.756412181,Not Fitted,Not Fitted,Not Fitted,Not Fitted
EMT 2-1,D06,9.68E-06,EC_11188057,2,-0.554742202,-2.063499073,-0.989387479,-0.004413108,-0.120460399,-0.755805472,Not Fitted,Not Fitted,Not Fitted,Not Fitted
EMT 2-1,D07,2.90E-06,EC_11188057,2,-0.535009548,1.420521743,-0.729275205,3.571761905,-0.119877407,-1.378368379,Not Fitted,Not Fitted,Not Fitted,Not Fitted
EMT 2-1,D08,8.71E-07,EC_11188057,2,-0.339910885,2.703195142,-0.768616709,2.205095903,-0.105496927,-0.93347023,Not Fitted,Not Fitted,Not Fitted,Not Fitted
EMT 2-1,D09,2.61E-07,EC_11188057,2,-0.012412476,1.651435686,0.28632886,1.482871373,-0.032407133,-0.236662546,Not Fitted,Not Fitted,Not Fitted,Not Fitted
EMT 2-1,D10,7.84E-08,EC_11188057,2,-0.009866327,1.289198643,0.132819842,1.042454189,0.02553968,-0.183233053,Not Fitted,Not Fitted,Not Fitted,Not Fitted
