Plate,Well,Class,G/N,Surface_nucleus,R/N,Nuclei,Eccentricity,CPD_ID,Concentration
EMT-Serie2-4-C1,O15,2,0.631918582,0.920103352,0.44283777,0.343071786,0.057437848,EC_6772302,3.23E-05
EMT-Serie2-4-C1,O16,2,0.72419009,0.998937774,0.201490298,0.182804674,0.527754381,EC_6772302,9.68E-06
EMT-Serie2-4-C1,O17,2,0.877761003,1.101011986,0.065668326,0.037145242,1.045564461,EC_6772302,2.90E-06
EMT-Serie2-4-C1,O18,2,0.949320317,1.451962966,0.095686359,0.087646077,0.696562967,EC_6772302,8.71E-07
EMT-Serie2-4-C1,O19,2,0.852239475,1.266618819,0.089048546,-0.029215359,0.720527102,EC_6772302,2.61E-07
EMT-Serie2-4-C1,O20,2,1.039953089,1.688093017,0.038293299,-0.072203673,0.858280125,EC_6772302,7.84E-08
EMT-Serie2-4-C1,O21,2,0.853219154,1.319615302,0.087201904,-0.079716194,0.801141149,EC_6772302,2.35E-08
EMT-Serie2-4-C1,O22,2,0.654575885,1.720103352,0.022435259,-0.063439065,0.225186795,EC_6772302,7.06E-09
EMT-Serie2-4-C1,O23,2,0.806408312,1.767185818,0.102204429,-0.10475793,0.334139383,EC_6772302,2.12E-09
EMT-Serie2-4-C1,O24,2,0.906242942,1.86938922,0.09948496,-0.313439065,0.1803831,EC_6772302,6.35E-10
EMT-Serie2-4-C2,O15,2,0.663031797,0.780374892,0.207349289,0.1255449,-0.212537034,EC_6772302,3.23E-05
EMT-Serie2-4-C2,O16,2,0.741341596,1.462851178,-0.047677902,-0.034001744,0.765788243,EC_6772302,9.68E-06
EMT-Serie2-4-C2,O17,2,1.050881839,1.586453653,0.091351623,-0.017436792,0.920692344,EC_6772302,2.90E-06
EMT-Serie2-4-C2,O18,2,0.97110129,1.623670555,-0.019115536,-0.060156931,1.216217059,EC_6772302,8.71E-07
EMT-Serie2-4-C2,O19,2,0.890108136,0.906171046,0.110718817,-0.033129904,1.458786839,EC_6772302,2.61E-07
EMT-Serie2-4-C2,O20,2,0.789006806,1.365300534,0.100597426,0.014385353,0.762794324,EC_6772302,7.84E-08
EMT-Serie2-4-C2,O21,2,0.794842253,1.26479977,0.014037716,-0.108979948,0.691002651,EC_6772302,2.35E-08
EMT-Serie2-4-C2,O22,2,0.82525587,1.595077081,0.097765163,-0.089363557,0.733073445,EC_6772302,7.06E-09
EMT-Serie2-4-C2,O23,2,0.665640425,1.089093632,0.0940454,-0.129468178,-0.112365508,EC_6772302,2.12E-09
EMT-Serie2-4-C2,O24,2,0.605638577,2.365285405,0.083341772,-0.24934612,-0.125806955,EC_6772302,6.35E-10
EMT-Serie2-4-C3,O15,2,0.663521372,1.234056349,0.319055255,0.247916667,0.198879404,EC_6772302,3.23E-05
EMT-Serie2-4-C3,O16,2,0.820288814,1.626244693,0.015143124,0.038333333,0.911964479,EC_6772302,9.68E-06
EMT-Serie2-4-C3,O17,2,1.083434824,1.664299498,-0.05042682,-0.08,0.928086265,EC_6772302,2.90E-06
EMT-Serie2-4-C3,O18,2,0.975434869,1.418510228,-0.049388766,-0.010833333,0.817215953,EC_6772302,8.71E-07
EMT-Serie2-4-C3,O19,2,0.62691059,1.007147819,0.195315128,0.162916667,0.478050585,EC_6772302,2.61E-07
EMT-Serie2-4-C3,O20,2,0.858417333,1.903589348,0.076317285,0.01625,0.500251077,EC_6772302,7.84E-08
EMT-Serie2-4-C3,O21,2,1.002413572,1.627680432,0.057161125,-0.0625,0.766339826,EC_6772302,2.35E-08
EMT-Serie2-4-C3,O22,2,0.674597152,1.336873794,0.056049131,0.004583333,0.194016439,EC_6772302,7.06E-09
EMT-Serie2-4-C3,O23,2,0.727477336,1.312836743,-0.022856041,-0.139583333,0.064777863,EC_6772302,2.12E-09
EMT-Serie2-4-C3,O24,2,0.627380719,2.326128908,0.099193623,-0.297916667,0.077199567,EC_6772302,6.35E-10
EMT-Serie2-4-C1,M15,2,0.373899642,0.271585445,0.849315444,0.678631052,-1.174459992,EC_27082048,3.23E-05
EMT-Serie2-4-C1,M16,2,0.506248927,0.467092514,0.517511361,0.40066778,-0.139057193,EC_27082048,9.68E-06
EMT-Serie2-4-C1,M17,2,0.759690094,1.206114979,0.136334127,0.175292154,0.201738894,EC_27082048,2.90E-06
EMT-Serie2-4-C1,M18,2,0.849749309,0.927983923,0.196166775,0.176961603,0.446080696,EC_27082048,8.71E-07
EMT-Serie2-4-C1,M19,2,0.7274355,1.413923778,-0.028555147,-0.008764608,0.55951637,EC_27082048,2.61E-07
EMT-Serie2-4-C1,M20,2,0.758678353,1.493160123,-0.000906009,-0.007095159,0.529764978,EC_27082048,7.84E-08
EMT-Serie2-4-C1,M21,2,0.938625785,1.839532046,-0.018369761,-0.085141903,0.972177693,EC_27082048,2.35E-08
EMT-Serie2-4-C1,M22,2,0.791780814,1.306107802,0.067100916,0.001252087,0.442439886,EC_27082048,7.06E-09
EMT-Serie2-4-C1,M23,2,0.697713821,1.543113472,-0.034725528,-0.002504174,-0.011520174,EC_27082048,2.12E-09
EMT-Serie2-4-C1,M24,2,0.755493505,1.720103352,0.073685349,-0.147746244,-0.136367341,EC_27082048,6.35E-10
EMT-Serie2-4-C2,M15,2,0.245958664,0.341033904,0.862453615,0.463818657,-1.527023234,EC_27082048,3.23E-05
EMT-Serie2-4-C2,M16,2,0.554620873,0.644336526,0.447361916,0.385353095,-0.208326836,EC_27082048,9.68E-06
EMT-Serie2-4-C2,M17,2,0.973781247,1.347297236,-0.039478935,-0.049694856,0.91523468,EC_27082048,2.90E-06
EMT-Serie2-4-C2,M18,2,0.820361295,1.304951663,0.140265476,0.165213601,0.289225012,EC_27082048,8.71E-07
EMT-Serie2-4-C2,M19,2,1.078581531,1.305299626,0.053169692,0.003051439,0.768251988,EC_27082048,2.61E-07
EMT-Serie2-4-C2,M20,2,1.048042238,1.276327932,-0.032987962,-0.031386225,0.831748012,EC_27082048,7.84E-08
EMT-Serie2-4-C2,M21,2,0.954393161,1.438645063,-0.114131827,-0.159982563,1.187930766,EC_27082048,2.35E-08
EMT-Serie2-4-C2,M22,2,0.768769556,1.131726652,2.98E-06,0.035309503,0.214876033,EC_27082048,7.06E-09
EMT-Serie2-4-C2,M23,2,0.895070644,1.858772447,0.052983554,-0.260244115,0.717729612,EC_27082048,2.12E-09
EMT-Serie2-4-C2,M24,2,0.625114977,2.003706561,0.065030348,-0.329991282,-0.180414782,EC_27082048,6.35E-10
EMT-Serie2-4-C3,M15,2,0.268781257,0.284631416,0.872551294,0.578333333,-1.362845892,EC_27082048,3.23E-05
EMT-Serie2-4-C3,M16,2,0.787616745,0.581675029,0.308236874,0.305,0.092951344,EC_27082048,9.68E-06
EMT-Serie2-4-C3,M17,2,1.008003287,1.405017368,0.176108224,0.056666667,0.320770674,EC_27082048,2.90E-06
EMT-Serie2-4-C3,M18,2,0.942814625,1.655962949,0.037172781,0.054583333,0.756798901,EC_27082048,8.71E-07
EMT-Serie2-4-C3,M19,2,0.937506247,1.315275955,-0.095556084,-0.026666667,1.05388905,EC_27082048,2.61E-07
EMT-Serie2-4-C3,M20,2,0.92820733,1.344098804,0.083251661,0.000416667,0.864286281,EC_27082048,7.84E-08
EMT-Serie2-4-C3,M21,2,0.93557761,1.565789271,0.046889317,0.055833333,0.773475698,EC_27082048,2.35E-08
EMT-Serie2-4-C3,M22,2,0.753045654,1.484832111,0.141761097,0.135833333,0.408938341,EC_27082048,7.06E-09
EMT-Serie2-4-C3,M23,2,0.907151503,1.626275569,-0.035530162,-0.177916667,0.51238206,EC_27082048,2.12E-09
EMT-Serie2-4-C3,M24,2,0.729831679,2.342956387,0.019272144,-0.139166667,-0.113539657,EC_27082048,6.35E-10
EMT-Serie2-1-C1,C05,2,0.206688565,-0.254792811,0.872310387,0.750906892,-1.403668049,EC_11190878,3.23E-05
EMT-Serie2-1-C1,C06,2,0.726902694,0.275994959,0.934148055,0.655380895,-0.035558686,EC_11190878,9.68E-06
EMT-Serie2-1-C1,C07,2,0.889415607,0.477984267,0.646433469,0.390165256,0.0446375,EC_11190878,2.90E-06
EMT-Serie2-1-C1,C08,2,0.92492003,1.122013287,0.151997767,0.111245466,0.814823511,EC_11190878,8.71E-07
EMT-Serie2-1-C1,C09,2,0.867758286,1.12042282,-0.055998964,-0.07980653,1.231170593,EC_11190878,2.61E-07
EMT-Serie2-1-C1,C10,2,1.318079637,1.079107381,0.046189134,0.040306328,1.101197464,EC_11190878,7.84E-08
EMT-Serie2-1-C1,C11,2,1.195591264,0.831569546,-0.040098274,-0.070536074,1.5647909,EC_11190878,2.35E-08
EMT-Serie2-1-C1,C12,2,1.049404348,0.935365869,0.109435911,0.088270859,0.815188751,EC_11190878,7.06E-09
EMT-Serie2-1-C1,C13,2,1.249327076,0.771535535,0.052495742,-0.049576784,1.460619342,EC_11190878,2.12E-09
EMT-Serie2-1-C1,C14,2,1.005116259,1.023453271,0.109020595,0.036275695,0.96433696,EC_11190878,6.35E-10
EMT-Serie2-1-C2,C05,2,0.181951627,-0.08197205,0.889507431,0.681265207,-1.563789596,EC_11190878,3.23E-05
EMT-Serie2-1-C2,C06,2,0.780941876,0.184304329,0.94880616,0.736415247,-0.19685081,EC_11190878,9.68E-06
EMT-Serie2-1-C2,C07,2,0.689190861,0.51156697,0.642909337,0.370640714,0.033235582,EC_11190878,2.90E-06
EMT-Serie2-1-C2,C08,2,0.881810385,0.850325764,0.050643008,0.100162206,0.760191276,EC_11190878,8.71E-07
EMT-Serie2-1-C2,C09,2,1.016055183,1.121158113,0.115797283,-0.050689376,1.039919685,EC_11190878,2.61E-07
EMT-Serie2-1-C2,C10,2,1.321366799,1.122338417,0.048666988,0.043390105,1.226678291,EC_11190878,7.84E-08
EMT-Serie2-1-C2,C11,2,1.318831396,1.342228884,0.002259105,-0.061232766,1.07260046,EC_11190878,2.35E-08
EMT-Serie2-1-C2,C12,2,1.2991918,1.078313111,0.064689903,0.043390105,1.117988957,EC_11190878,7.06E-09
EMT-Serie2-1-C2,C13,2,1.237193547,1.200238421,0.023440311,-0.092051906,1.388787615,EC_11190878,2.12E-09
EMT-Serie2-1-C2,C14,2,1.377995545,0.781856381,0.084433369,0.01297648,1.081635888,EC_11190878,6.35E-10
EMT-Serie2-1-C3,C05,2,0.167138784,-0.226418167,0.873713747,0.716059271,-1.485364389,EC_11190878,3.23E-05
EMT-Serie2-1-C3,C06,2,0.569131598,0.011075434,0.9607623,0.720064077,-0.296290071,EC_11190878,9.68E-06
EMT-Serie2-1-C3,C07,2,0.611356895,0.365117037,0.690080195,0.435322387,0.175627326,EC_11190878,2.90E-06
