Plate,Well,Concentration,CPD_ID,Class,Nuclei,Eccent,R/N,G/N,CD24,LDA_1,Deselected_Nuclei,Deselected_R/N,Deselected_G/N,Deselected_LDA_1
EMT day3 2-1,A05,3.23E-05,EC_6772302,2,0.183804253,0.06829639,0.887988166,0.166284405,-0.349906626,0.484745723,TRUE,TRUE,Not Fitted,TRUE
EMT day3 2-1,A06,9.68E-06,EC_6772302,2,0.31459365,0.556718355,0.689684172,0.839417996,-0.243334557,0.465636782,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-1,A07,2.90E-06,EC_6772302,2,0.06291873,0.452803737,0.27452934,0.680938252,-0.206092206,0.093983603,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-1,A08,8.71E-07,EC_6772302,2,-0.042819691,0.561458162,0.057963707,0.526610398,-0.072986971,-0.069318789,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-1,A09,2.61E-07,EC_6772302,2,-0.07719196,0.746657199,0.016001852,0.577878487,-0.037151255,-0.121699801,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-1,A10,7.84E-08,EC_6772302,2,-0.142441014,0.744176234,0.047469098,0.554785127,-0.022766062,-0.167897192,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-1,A11,2.35E-08,EC_6772302,2,-0.120011652,0.734490664,-0.02196484,0.403676041,-0.022468659,-0.158355804,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-1,A12,7.06E-09,EC_6772302,2,-0.099912613,0.739864138,-0.014022355,0.543470527,0.01593919,-0.150505694,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-1,A13,2.12E-09,EC_6772302,2,-0.07719196,0.745915947,0.013824708,0.581361318,-0.086437086,-0.122852613,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-1,A14,6.35E-10,EC_6772302,2,-0.13952811,0.863927065,0.042881204,0.523389713,0.068692043,-0.163854911,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-2,A05,3.23E-05,EC_6772302,2,-0.004384683,0.290505107,1.240553942,0.284238118,-0.386216791,0.431187099,TRUE,TRUE,Not Fitted,TRUE
EMT day3 2-2,A06,9.68E-06,EC_6772302,2,0.273604209,0.325725454,1.139521038,0.861176308,-0.251636557,0.593583546,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-2,A07,2.90E-06,EC_6772302,2,0.002923122,0.484068402,0.285382857,0.636946221,-0.169960149,0.046981177,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-2,A08,8.71E-07,EC_6772302,2,-0.113709442,0.581413667,0.025816229,0.400275886,-0.074585547,-0.134376398,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-2,A09,2.61E-07,EC_6772302,2,-0.251096171,0.702085831,-0.007570898,0.616687457,-0.025108927,-0.294730375,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-2,A10,7.84E-08,EC_6772302,2,-0.197895352,0.715580186,0.012231257,0.44279795,-0.057670032,-0.221269389,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-2,A11,2.35E-08,EC_6772302,2,-0.195849167,0.744410873,0.006223827,0.527259182,-0.027890542,-0.229875167,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-2,A12,7.06E-09,EC_6772302,2,-0.107863198,0.618844022,0.033278211,0.432637781,-0.013785866,-0.129359377,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-2,A13,2.12E-09,EC_6772302,2,-0.206372406,0.767663965,0.001685421,0.495584137,-0.060536663,-0.23818307,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-2,A14,6.35E-10,EC_6772302,2,-0.215434084,0.8111725,-0.006733246,0.579425284,0.000900638,-0.257876133,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-3,A05,3.23E-05,EC_6772302,2,0.177795443,0.054539573,0.95554649,0.534611052,-0.494645413,0.468432546,TRUE,TRUE,Not Fitted,TRUE
EMT day3 2-3,A06,9.68E-06,EC_6772302,2,0.46581876,0.51529162,0.935204594,1.224251988,-0.262757339,0.659191675,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-3,A07,2.90E-06,EC_6772302,2,0.117117117,0.482878665,0.171035683,0.689582309,-0.255037481,0.104515669,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-3,A08,8.71E-07,EC_6772302,2,-0.012188659,0.667978855,0.033244217,0.946123205,-0.199653788,-0.091269305,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-3,A09,2.61E-07,EC_6772302,2,-0.030736619,0.653819769,0.037311432,0.595187246,-0.194981711,-0.072578633,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-3,A10,7.84E-08,EC_6772302,2,-0.052199258,0.628445251,0.037998953,0.7376378,-0.135914754,-0.106039861,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-3,A11,2.35E-08,EC_6772302,2,-0.067567568,0.644411551,0.010284609,0.656759527,-0.16178149,-0.122660582,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-3,A12,7.06E-09,EC_6772302,2,0.0063593,0.546772282,0.074643407,0.671758093,-0.196519582,-0.031902043,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-3,A13,2.12E-09,EC_6772302,2,-0.118177001,0.902663408,-0.014950918,0.622979925,-0.017168233,-0.175470375,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-3,A14,6.35E-10,EC_6772302,2,-0.090620032,0.857959601,-0.012074751,0.790565869,-0.11631643,-0.165345645,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-1,J15,3.23E-05,EC_27082048,2,0.708418293,-0.128045171,1.222685162,0.273534282,-0.263635657,1.083184559,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-1,J16,9.68E-06,EC_27082048,2,0.603553743,0.228466322,1.061743991,1.13594401,-0.076135155,0.842118243,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-1,J17,2.90E-06,EC_27082048,2,0.348965919,0.588815629,0.394714765,1.357625399,-0.054845391,0.336632886,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-1,J18,8.71E-07,EC_27082048,2,0.157005535,0.734073512,0.123257671,0.875267774,-0.022423111,0.105343748,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-1,J19,2.61E-07,EC_27082048,2,0.123507137,0.900172538,0.020674645,1.071829387,0.015668581,0.016949371,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-1,J20,7.84E-08,EC_27082048,2,0.161957472,1.001621669,-0.005488377,0.875453858,-0.0531092,0.061843392,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-1,J21,2.35E-08,EC_27082048,2,0.04922808,1.049155694,-0.029392583,0.813432498,0.063553135,-0.04502133,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-1,J22,7.06E-09,EC_27082048,2,0.00728226,1.098186833,0.008271147,0.938498987,0.051616827,-0.081881372,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-1,J23,2.12E-09,EC_27082048,2,0.030294203,0.803139014,0.064990181,0.720929028,-0.095742315,-0.018226632,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-1,J24,6.35E-10,EC_27082048,2,-0.039324206,0.809906766,0.04317346,0.67215392,-0.064016655,-0.085832846,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-2,J15,3.23E-05,EC_27082048,2,0.774627302,-0.163618663,1.081866249,0.220560304,-0.317473433,1.096886642,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-2,J16,9.68E-06,EC_27082048,2,0.667933353,0.238302171,0.838138389,0.929293047,-0.111920829,0.838248306,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-2,J17,2.90E-06,EC_27082048,2,0.314527916,0.428248985,0.410036869,0.951760743,0.011134431,0.350230488,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-2,J18,8.71E-07,EC_27082048,2,0.092662964,0.782729359,0.105250652,0.57182312,-0.057282147,0.068906791,FALSE,FALSE,Not Fitted,FALSE
EMT day3 2-2,J19,2.61E-07,EC_27082048,2,0.134755919,0.76237182,0.043151107,0.885672269,-0.000701382,0.053902667,FALSE,FALSE,Not Fitted,FALSE
